r_title,r_media_title,r_post_date,r_upvote_ratio,r_score,r_post_artist,r_post_song,r_media_artist,r_media_song,r_genres,link_source,sp_link_x,yt_link,yt_video_id,sc_link,sc_embed_link,bc_embed_link,track_id,sp_song,sp_artist,id,sp_link_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,sp_artwork_640px,sp_release_date,sp_release_year,sp_explicit,sp_popularity,sp_audio_preview,sp_genres,sp_artist_popularity,sp_follower_count
The Dead Milkmen - Bitchin' Camaro [Punk] (1985),Bitchin' Camaro,2022-11-22,0.95,1789.0,The Dead Milkmen,Bitchin Camaro,,,punk,spotify,https://open.spotify.com/track/5I89rHeQpxFGVseikEgY12,,,,,,5I89rHeQpxFGVseikEgY12,Bitchin' Camaro,The Dead Milkmen,5I89rHeQpxFGVseikEgY12,https://open.spotify.com/track/5I89rHeQpxFGVseikEgY12,0.552,0.494,0.0,-11.823,1.0,0.44,0.595,8.39e-05,0.0561,0.817,155.138,audio_features,spotify:track:5I89rHeQpxFGVseikEgY12,https://api.spotify.com/v1/tracks/5I89rHeQpxFGVseikEgY12,https://api.spotify.com/v1/audio-analysis/5I89rHeQpxFGVseikEgY12,181067.0,4.0,https://i.scdn.co/image/ab67616d0000b27321b6e8c5d2f4fd910fd80eb8,1985-06-25,1985.0,True,40.0,https://p.scdn.co/mp3-preview/a06d43284ba0e623ee130f37779378bdc9990474?cid=484c8fc1e0c54669ac770f80991a8280,"'alternative rock', 'cowpunk', 'hardcore punk', 'philly indie', 'punk', 'ska punk'",43,118823
NOFX - Linoleum [Punk] (1994),Linoleum,2022-11-23,0.95,1051.0,NOFX,Linoleum,,,punk,spotify,https://open.spotify.com/track/4uB28m7RAflobYpnLMb6A2,,,,,,4uB28m7RAflobYpnLMb6A2,Linoleum,NOFX,4uB28m7RAflobYpnLMb6A2,https://open.spotify.com/track/4uB28m7RAflobYpnLMb6A2,0.18,0.934,4.0,-8.699,1.0,0.115,3.32e-05,0.000551,0.0702,0.433,197.043,audio_features,spotify:track:4uB28m7RAflobYpnLMb6A2,https://api.spotify.com/v1/tracks/4uB28m7RAflobYpnLMb6A2,https://api.spotify.com/v1/audio-analysis/4uB28m7RAflobYpnLMb6A2,130267.0,4.0,https://i.scdn.co/image/ab67616d0000b27331ce63f1e36e1a164510cdb5,1994-07-19,1994.0,False,59.0,https://p.scdn.co/mp3-preview/142e7bb1c43e8da815844828a420282231b27aaa?cid=484c8fc1e0c54669ac770f80991a8280,"'punk', 'skate punk', 'socal pop punk'",60,950246
Jon Lajoie - I Kill People [Gangster Rap],I Kill People,2022-11-22,0.91,672.0,Jon Lajoie,I Kill People,,,gangster rap,youtube,,https://www.youtube.com/watch?v=xC03hmS1Brk,xC03hmS1Brk,,,,,I Kill People,Ombre2Choc Nation,1TDTS4V77oc2hLQawa17zY,,0.888,0.457,9.0,-12.339,1.0,0.315,0.0134,7.28e-06,0.0872,0.786,155.008,audio_features,spotify:track:1TDTS4V77oc2hLQawa17zY,https://api.spotify.com/v1/tracks/1TDTS4V77oc2hLQawa17zY,https://api.spotify.com/v1/audio-analysis/1TDTS4V77oc2hLQawa17zY,233704.0,4.0,https://i.scdn.co/image/ab67616d0000b273a7c929077dcc9e2c8aa92cd3,2019-12-19,2019.0,True,58.0,https://p.scdn.co/mp3-preview/b342ceeece39cbf8a88499ebf0c741fc08cf8192?cid=484c8fc1e0c54669ac770f80991a8280,"'new york drill', 'trap soul'",53,18572
Electronic Experienced - No. 303 [Jungle Techno] (1993),Electronic Experienced - No 303,2022-11-21,0.93,362.0,Electronic Experienced,No. 303,Electronic Experienced,No 303,jungle techno,youtube,,https://www.youtube.com/watch?v=SXsT5BwiDAc,SXsT5BwiDAc,,,,,THE ELECTRIC EXPERIENCE,City Morgue,4ZAy1Vh6u97dJRnEg1qexN,,0.473,0.944,1.0,-5.386,1.0,0.0939,0.0233,0.00196,0.563,0.348,157.032,audio_features,spotify:track:4ZAy1Vh6u97dJRnEg1qexN,https://api.spotify.com/v1/tracks/4ZAy1Vh6u97dJRnEg1qexN,https://api.spotify.com/v1/audio-analysis/4ZAy1Vh6u97dJRnEg1qexN,110757.0,4.0,https://i.scdn.co/image/ab67616d0000b273d127ecd89d2f82594dee83d5,2020-07-31,2020.0,True,57.0,,"'dark trap', 'underground hip hop'",62,350724
Yellowcard - Ocean Avenue [Punk Rock],Yellowcard - Ocean Avenue (Official Music Video),2022-11-21,0.87,333.0,Yellowcard,Ocean Avenue,Yellowcard,Ocean Avenue,punk rock,youtube,,https://www.youtube.com/watch?v=X9fLbfzCqWw,X9fLbfzCqWw,,,,,Ocean Avenue,Yellowcard,23oxJmDc1V9uLUSmN2LIvx,,0.486,0.904,6.0,-3.751,0.0,0.0638,3.43e-05,2.83e-05,0.0947,0.786,173.734,audio_features,spotify:track:23oxJmDc1V9uLUSmN2LIvx,https://api.spotify.com/v1/tracks/23oxJmDc1V9uLUSmN2LIvx,https://api.spotify.com/v1/audio-analysis/23oxJmDc1V9uLUSmN2LIvx,198267.0,4.0,https://i.scdn.co/image/ab67616d0000b273d1fd8f264564d9eef7617a45,2003-01-01,2003.0,False,72.0,,"'bow pop', 'pop punk', 'socal pop punk'",61,1343591
Paysage d'Hiver - Paysage d'Hiver [Atmospheric Black Metal] (1999),Paysage d'Hiver - Paysage d'Hiver (Full Demo),2022-11-19,0.9,293.0,Paysage dHiver,Paysage dHiver,Paysage dHiver,Paysage dHiver,atmospheric black metal,youtube,,https://www.youtube.com/watch?v=ftJpAjEI9F8,ftJpAjEI9F8,,,,,Eishalle,Paysage D'Hiver,2srwzbnzdz479V0W7H8gJx,,0.257,0.662,3.0,-5.025,1.0,0.0362,0.55,0.901,0.0715,0.0376,144.443,audio_features,spotify:track:2srwzbnzdz479V0W7H8gJx,https://api.spotify.com/v1/tracks/2srwzbnzdz479V0W7H8gJx,https://api.spotify.com/v1/audio-analysis/2srwzbnzdz479V0W7H8gJx,894280.0,4.0,https://i.scdn.co/image/ab67616d0000b273c7c454dbbf21ef5d4e7af1f0,2009-10-16,2009.0,False,29.0,https://p.scdn.co/mp3-preview/cdd5e120831105a90b6611d7cfce586f4285ca3c?cid=484c8fc1e0c54669ac770f80991a8280,"'atmospheric black metal', 'autonomous black metal', 'black metal', 'cosmic black metal', 'depressive black metal', 'dungeon synth', 'swiss black metal', 'swiss metal', 'voidgaze'",26,28892
Technotronic - Pump Up The Jam,Technotronic - Pump Up The Jam (Official Music Video),2022-11-24,0.91,257.0,Technotronic,Pump Up The Jam,Technotronic,Pump Up The Jam,,youtube,,https://www.youtube.com/watch?v=9EcjWd-O4jI,9EcjWd-O4jI,,,,,Pump Up The Jam,Technotronic,21qnJAMtzC6S5SESuqQLEK,,0.885,0.844,10.0,-9.225,0.0,0.0733,0.0147,4.49e-06,0.0494,0.715,124.602,audio_features,spotify:track:21qnJAMtzC6S5SESuqQLEK,https://api.spotify.com/v1/tracks/21qnJAMtzC6S5SESuqQLEK,https://api.spotify.com/v1/audio-analysis/21qnJAMtzC6S5SESuqQLEK,320307.0,4.0,https://i.scdn.co/image/ab67616d0000b27391f442ef24b8410ec1e68003,1989-11-28,1989.0,False,66.0,,"'eurodance', 'europop', 'hip house', 'new beat'",56,232483
The dB's - Black and White [Power Pop] (1981),The dB's - Black and White,2022-11-22,0.91,218.0,The dBs,Black and White,,,power pop,youtube,,https://www.youtube.com/watch?v=KWN-adiDNtM,KWN-adiDNtM,,,,,Black and White - Don Dixon Mix,The dB's,3kkRw4UoDWF6J85H6FC2dq,,0.451,0.866,4.0,-9.587,1.0,0.0346,0.059,0.0249,0.0842,0.885,86.543,audio_features,spotify:track:3kkRw4UoDWF6J85H6FC2dq,https://api.spotify.com/v1/tracks/3kkRw4UoDWF6J85H6FC2dq,https://api.spotify.com/v1/audio-analysis/3kkRw4UoDWF6J85H6FC2dq,176613.0,4.0,https://i.scdn.co/image/ab67616d0000b2737377a4978c4e434fe0a28899,2021-10-15,2021.0,False,20.0,https://p.scdn.co/mp3-preview/680e31f3871ede4eba581719ad14374281d7da28?cid=484c8fc1e0c54669ac770f80991a8280,"'jangle pop', 'paisley underground', 'power pop', 'pub rock'",26,16356
Underworld - Born Slippy [EDM],Underworld - Born Slippy,2022-11-23,0.9,196.0,Underworld,Born Slippy,Underworld,Born Slippy,edm,youtube,,https://www.youtube.com/watch?v=Nf4uiRr78dU,Nf4uiRr78dU,,,,,Born Slippy (Nuxx),Underworld,7xQYVjs4wZNdCwO0EeAWMC,,0.576,0.953,10.0,-8.968,1.0,0.0362,0.00106,0.49,0.474,0.303,140.042,audio_features,spotify:track:7xQYVjs4wZNdCwO0EeAWMC,https://api.spotify.com/v1/tracks/7xQYVjs4wZNdCwO0EeAWMC,https://api.spotify.com/v1/audio-analysis/7xQYVjs4wZNdCwO0EeAWMC,456480.0,4.0,https://i.scdn.co/image/ab67616d0000b2731e34bdf6792b78c2da36a767,2014-01-01,2014.0,False,65.0,,"'big beat', 'electronica'",55,524413
Alt-J - Breezeblocks [Indie Pop],Breezeblocks,2022-11-21,0.85,127.0,Alt-J,Breezeblocks,,,indie pop,youtube,,https://www.youtube.com/watch?v=egNb0DVaRoA,egNb0DVaRoA,,,,,Breezeblocks,alt-J,3n69hLUdIsSa1WlRmjMZlW,,0.615,0.658,5.0,-7.299,1.0,0.0343,0.096,0.000911,0.205,0.293,150.093,audio_features,spotify:track:3n69hLUdIsSa1WlRmjMZlW,https://api.spotify.com/v1/tracks/3n69hLUdIsSa1WlRmjMZlW,https://api.spotify.com/v1/audio-analysis/3n69hLUdIsSa1WlRmjMZlW,227080.0,4.0,https://i.scdn.co/image/ab67616d0000b273028c3bb4b81ee71dd73d1596,2012-09-18,2012.0,False,71.0,https://p.scdn.co/mp3-preview/5918185661aaaa6e1c9199ab6390aabf72bc0ee2?cid=484c8fc1e0c54669ac770f80991a8280,"'indie rock', 'modern rock'",69,3076829
