r_title,r_media_title,r_post_date,r_upvote_ratio,r_score,r_media_data,r_post_artist,r_post_song,r_media_artist,r_media_song,r_genres,link_source,sp_link,yt_link,yt_video_id,sc_link,sc_embed_link,bc_embed_link,video_title,channel_title,publish_date,vid_duration,view_count,thumbnail_standard,like_count,comment_count,video_tags,view_count_readable,like_count_readable,comment_count_readable,vid_duration_readable,publish_date_readable,r_score_readable
King Gizzard & The Lizard Wizard - Mars for the Rich [Rock/Thrash Metal],King Gizzard & The Lizard Wizard - MARS FOR THE RICH,2023-01-23,0.94,2778.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'King Gizzard & The Lizard Wizard - MARS FOR THE RICH', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/L9-z8IJg8_s?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""King Gizzard &amp; The Lizard Wizard - MARS FOR THE RICH""></iframe>', 'author_name': 'tsnhd', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/L9-z8IJg8_s/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@tsnhd'}}",King Gizzard & The Lizard Wizard,Mars for the Rich,King Gizzard & The Lizard Wizard,MARS FOR THE RICH,"rock, thrash metal",youtube,,https://www.youtube.com/watch?v=L9-z8IJg8_s,L9-z8IJg8_s,,,,King Gizzard & The Lizard Wizard - MARS FOR THE RICH,tsnhd,2019-08-14T05:20:23Z,PT4M13S,48906,https://i.ytimg.com/vi/L9-z8IJg8_s/hqdefault.jpg,394,20,"['King Gizzard & The Lizard Wizard', 'Flightless Records', 'Tame Impala', 'Metallica', 'Thrash', 'Metal', 'Oh Sees', 'Led Zeppelin', 'Black Sabbath', 'Rolling Stones', 'heavy music', 'Psych', 'Psychedelic Music', 'garage rock', 'rock music', 'Motorhead', 'Hawkwind', 'Lemmy', 'Planet B official video', 'infest the rats’ nest', 'king gizzard', 'king gizzard and the lizard wizard', 'self-immolate', 'organ farmer', 'new album', 'live', 'desert daze', 'fuji rock', 'maho rasop festival', 'find new music']",48.9K,394,20,04:13,2019-08-14,2.78K
The Darkness - I Believe in a Thing Called Love [Hair Metal],The Darkness - I Believe In A Thing Called Love (Official Music Video),2023-01-23,0.92,603.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'The Darkness - I Believe In A Thing Called Love (Official Music Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/tKjZuykKY1I?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""The Darkness - I Believe In A Thing Called Love (Official Music Video)""></iframe>', 'author_name': 'RHINO', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/tKjZuykKY1I/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@rhino'}}",The Darkness,I Believe in a Thing Called Love,The Darkness,I Believe In A Thing Called Love,hair metal,youtube,,https://www.youtube.com/watch?v=tKjZuykKY1I,tKjZuykKY1I,,,,The Darkness - I Believe In A Thing Called Love (Official Music Video),RHINO,2014-07-14T16:33:14Z,PT3M50S,26689962,https://i.ytimg.com/vi/tKjZuykKY1I/hqdefault.jpg,242608,10123,"['the darkness', 'i believe in a thing called love', 'i believe in a thing called love lyrics', 'darkness', 'darkness i believe in a thing called love', 'i believe in a thing called love the darkness', 'i believe in a thing called love official video', 'i believe in a thing called love official music video', 'the darkness i believe in a thing called love cover', 'i believe in a thing called love live', 'i believe in a thing called love guitar', 'i believe in a thing called love hq', 'music', 'rhino records']",26.7M,243K,10.1K,03:50,2014-07-14,603
Wildermiss - W.I.F.I. [Indie Rock] (2022),"Wildermiss - ""W.I.F.I."" (Official Music Video)",2023-01-22,0.92,413.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Wildermiss - ""W.I.F.I."" (Official Music Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/ZGveFWX-DzA?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Wildermiss - &quot;W.I.F.I.&quot; (Official Music Video)""></iframe>', 'author_name': 'Wildermiss', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/ZGveFWX-DzA/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@Wildermiss'}}",Wildermiss,W.I.F.I.,Wildermiss,W.I.F.I.,indie rock,youtube,,https://www.youtube.com/watch?v=ZGveFWX-DzA,ZGveFWX-DzA,,,,"Wildermiss - ""W.I.F.I."" (Official Music Video)",Wildermiss,2022-07-18T16:33:11Z,PT3M26S,202246,https://i.ytimg.com/vi/ZGveFWX-DzA/hqdefault.jpg,612,53,,202K,612,53,03:26,2022-07-18,413
Shake the Baby Til the Love Comes Out -- Utility Myth (Live) [Math Rock / Instrumental] (2017),Shake the Baby Til the Love Comes Out - Utility Myth - Live at the Anthill,2023-01-20,0.81,254.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Shake the Baby Til the Love Comes Out - Utility Myth - Live at the Anthill', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/RZt_Rr7glmY?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Shake the Baby Til the Love Comes Out - Utility Myth - Live at the Anthill""></iframe>', 'author_name': 'The Tubs', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/RZt_Rr7glmY/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@thetubs'}}",Shake the Baby Til the Love Comes Out,Utility Myth,Shake the Baby Til the Love Comes Out,Utility Myth - Live at the Anthill,"math rock, instrumental",youtube,,https://www.youtube.com/watch?v=RZt_Rr7glmY,RZt_Rr7glmY,,,,Shake the Baby Til the Love Comes Out - Utility Myth - Live at the Anthill,The Tubs,2017-10-11T23:29:02Z,PT3M43S,10692,https://i.ytimg.com/vi/RZt_Rr7glmY/hqdefault.jpg,166,11,"['live', 'anthill', 'music', 'shake the baby til the love comes out']",10.7K,166,11,03:43,2017-10-11,254
The Pom-Poms - Full Circle [Alternative/Synth-pop] (2018),Full Circle,2023-01-23,0.89,240.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Full Circle', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/wsUeWf_y_5s?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Full Circle""></iframe>', 'author_name': 'The Pom-Poms - Topic', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/wsUeWf_y_5s/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCA6f7dsecHFTAenqc_9QJ8g'}}",The Pom-Poms,Full Circle,,,"alternative, synth-pop",youtube,,https://www.youtube.com/watch?v=wsUeWf_y_5s,wsUeWf_y_5s,,,,Full Circle,The Pom-Poms - Topic,2018-09-27T11:31:59Z,PT3M42S,65783,https://i.ytimg.com/vi/wsUeWf_y_5s/hqdefault.jpg,1634,26,"['The', 'Pom-Poms', 'EP', 'Full', 'Circle']",65.8K,1.63K,26,03:42,2018-09-27,240
"Repulsion - Black Breath [death/thrash metal/grindcore, USA] (1989)",Black Breath,2023-01-23,0.89,232.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Black Breath', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/rPv6RqKgqHk?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Black Breath""></iframe>', 'author_name': 'Repulsion - Topic', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/rPv6RqKgqHk/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCehais9AFP3eSHkmUMmlWRQ'}}",Repulsion,Black Breath,,,"death, thrash metal, grindcore, usa",youtube,,https://www.youtube.com/watch?v=rPv6RqKgqHk,rPv6RqKgqHk,,,,Black Breath,Repulsion - Topic,2014-11-09T05:51:53Z,PT2M17S,58562,https://i.ytimg.com/vi/rPv6RqKgqHk/hqdefault.jpg,1344,7,"['Repulsion', 'Horrified', 'Black', 'Breath']",58.6K,1.34K,7,02:17,2014-11-09,232
Faith No More - Surprise! You’re Dead! [Rock/Hard Rock],Faith No More - Surprise You're Dead [Official Music Video],2023-01-24,0.94,197.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': ""Faith No More - Surprise You're Dead [Official Music Video]"", 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/eG4AawcYdSE?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Faith No More - Surprise You&#39;re Dead [Official Music Video]""></iframe>', 'author_name': 'UPROXX Indie Mixtape', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/eG4AawcYdSE/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@indiemixtape'}}",Faith No More,Surprise! You’re Dead!,Faith No More,Surprise Youre Dead,"rock, hard rock",youtube,,https://www.youtube.com/watch?v=eG4AawcYdSE,eG4AawcYdSE,,,,Faith No More - Surprise You're Dead [Official Music Video],UPROXX Indie Mixtape,2022-03-25T14:26:18Z,PT2M30S,144223,https://i.ytimg.com/vi/eG4AawcYdSE/hqdefault.jpg,3960,231,"['faith no more', 'mike patton', 'the real thing', ""everything's ruined faith no more"", ""surprise you're dead"", 'indie mixtape', 'uproxx', 'alt rock', 'heavy metal', 'metal march', 'faith no more live', 'faith no more official video', '90s music', '80s music videos', 'faith no more reaction', 'faith no more tour history', '90s nostalgia', ""faith no more surprise you're dead live"", ""faith no more surprise you're dead lyrics"", 'faith no more full album', ""surprise! you're dead!""]",144K,3.96K,231,02:30,2022-03-25,197
Farhad Mehrad -- Shahbane [1970s Iranian Psychadelic Rock] (1974),Farhad Mehrad - Shahbaneh فرهاد مهراد - شبانه,2023-01-23,0.94,195.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Farhad Mehrad - Shahbaneh فرهاد مهراد - شبانه', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/fgPkNMOpIdw?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Farhad Mehrad - Shahbaneh فرهاد مهراد - شبانه""></iframe>', 'author_name': 'parham', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/fgPkNMOpIdw/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@parhamap'}}",Farhad Mehrad,Shahbane,Farhad Mehrad,Shahbaneh فرهاد مهراد - شبانه,1970s iranian psychadelic rock,youtube,,https://www.youtube.com/watch?v=fgPkNMOpIdw,fgPkNMOpIdw,,,,Farhad Mehrad - Shahbaneh فرهاد مهراد - شبانه,parham,2011-03-01T01:31:16Z,PT5M29S,236451,https://i.ytimg.com/vi/fgPkNMOpIdw/hqdefault.jpg,1399,214,"['Farhad', 'Mehrad', 'Shabaneh', 'Koucheh', 'فرهاد', 'مهراد', 'شبانه', 'کوچه']",236K,1.4K,214,05:29,2011-03-01,195
"Crosby, Stills and Nash - Suite: Judy Blue Eyes [Folk/Rock]",Suite: Judy Blue Eyes (2005 Remaster),2023-01-24,0.95,189.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Suite: Judy Blue Eyes (2005 Remaster)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/OvGfQCsfzUo?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Suite: Judy Blue Eyes (2005 Remaster)""></iframe>', 'author_name': 'Crosby, Stills & Nash - Topic', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/OvGfQCsfzUo/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UC25j4DwEaTkGHCUpQo2mZPQ'}}","Crosby, Stills and Nash",Suite: Judy Blue Eyes,Suite,Judy Blue Eyes,"folk, rock",youtube,,https://www.youtube.com/watch?v=OvGfQCsfzUo,OvGfQCsfzUo,,,,Suite: Judy Blue Eyes (2005 Remaster),"Crosby, Stills & Nash - Topic",2015-08-29T17:48:38Z,PT7M25S,8849794,https://i.ytimg.com/vi/OvGfQCsfzUo/hqdefault.jpg,79644,1342,"['Crosby', 'Stills & Nash Suite: Judy Blue Eyes']",8.85M,79.6K,1.34K,07:25,2015-08-29,189
The Hot House West Swing Orchestra – I’m an old cowhand [swing/big band] (2023),I'm an Old Cowhand– The Hot House West Swing Orchestra,2023-01-20,0.83,147.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': ""I'm an Old Cowhand–\xa0The Hot House West Swing Orchestra"", 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/cVmQr6jsZxQ?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""I&#39;m an Old Cowhand–\xa0The Hot House West Swing Orchestra""></iframe>', 'author_name': 'Hot House West', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/cVmQr6jsZxQ/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@HotHouseWest'}}",The Hot House West Swing Orchestra,I’m an old cowhand,,,"swing, big band",youtube,,https://www.youtube.com/watch?v=cVmQr6jsZxQ,cVmQr6jsZxQ,,,,I'm an Old Cowhand– The Hot House West Swing Orchestra,Hot House West,2023-01-18T21:09:26Z,PT4M23S,1803,https://i.ytimg.com/vi/cVmQr6jsZxQ/hqdefault.jpg,38,10,,1.8K,38,10,04:23,2023-01-18,147
