r_title,r_post_song,r_post_artist,r_media_song,r_media_artist,sp_song,sp_artist,r_genres,sp_genres,r_media_title,r_post_date,r_upvote_ratio,r_score,bc_embed_link,link_source,sc_embed_link,sc_link,sp_link,yt_link,yt_video_id,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,sp_artwork_640px,sp_release_date,sp_release_year,sp_explicit,sp_popularity,sp_audio_preview,sp_artist_popularity,sp_follower_count
The Chats - Smoko [Punk Rock],Smoko,The Chats,SMOKO,THE CHATS,Smoko,The Chats,punk rock,"'australian garage punk', 'brisbane punk'",THE CHATS - SMOKO  (OFFICIAL VIDEO),2023-01-22,25.0,2779.0,,youtube,,,,https://www.youtube.com/watch?v=j58V2vC9EPc,j58V2vC9EPc,5nw2rQXAjfpZNaMzAJ8qTX,61.5,-1067.4,B/Cb,-10.674,1.0,67.5,5.38,0.4,0.41,16.6,86,audio_features,spotify:track:5nw2rQXAjfpZNaMzAJ8qTX,https://api.spotify.com/v1/tracks/5nw2rQXAjfpZNaMzAJ8qTX,https://api.spotify.com/v1/audio-analysis/5nw2rQXAjfpZNaMzAJ8qTX,02:59,4.0,https://i.scdn.co/image/ab67616d0000b273df53bbc68be612f70b5ef004,2017-07-31,2017.0,False,57.0,https://p.scdn.co/mp3-preview/4ee9c1c8e4e64aff3649ada3efc159b760384d91?cid=484c8fc1e0c54669ac770f80991a8280,53,222740
King Gizzard & The Lizard Wizard - Mars for the Rich [Rock/Thrash Metal],Mars for the Rich,King Gizzard & The Lizard Wizard,MARS FOR THE RICH,King Gizzard & The Lizard Wizard,Mars For The Rich,King Gizzard & The Lizard Wizard,"rock, thrash metal","'australian indie', 'australian psych', 'double drumming', 'microtonal', 'neo-psychedelic'",King Gizzard & The Lizard Wizard - MARS FOR THE RICH,2023-01-23,32.5,970.0,,youtube,,,,https://www.youtube.com/watch?v=L9-z8IJg8_s,L9-z8IJg8_s,4lV1tx0EdlIChOw7Kz7fP0,88.5,-593.8,B/Cb,-5.938,0.0,26.9,9.48,2.9,79.5,13.2,129,audio_features,spotify:track:4lV1tx0EdlIChOw7Kz7fP0,https://api.spotify.com/v1/tracks/4lV1tx0EdlIChOw7Kz7fP0,https://api.spotify.com/v1/audio-analysis/4lV1tx0EdlIChOw7Kz7fP0,04:11,4.0,https://i.scdn.co/image/ab67616d0000b2739f20343552da5fab7cc4f897,2019-08-16,2019.0,False,44.0,https://p.scdn.co/mp3-preview/2cfe0e659b7f5c42cae93b743d5cb2364c38df67?cid=484c8fc1e0c54669ac770f80991a8280,66,912503
Motörhead - Ace Of Spades [Speed Metal/Heavy Metal],Ace Of Spades,Motörhead,Ace Of Spades,Motörhead,Ace of Spades,Motörhead,"speed metal, heavy metal","'album rock', 'hard rock', 'metal', 'rock', 'speed metal'",Motörhead - Ace Of Spades,2023-01-22,54.7,600.0,,youtube,,,,https://www.youtube.com/watch?v=81VfbhMRMkA,81VfbhMRMkA,6EPRKhUOdiFSQwGBRBbvsZ,91.0,-774.8,E,-7.748,1.0,34.2,7.58,0.0,0.01,8.23,140,audio_features,spotify:track:6EPRKhUOdiFSQwGBRBbvsZ,https://api.spotify.com/v1/tracks/6EPRKhUOdiFSQwGBRBbvsZ,https://api.spotify.com/v1/audio-analysis/6EPRKhUOdiFSQwGBRBbvsZ,02:46,4.0,https://i.scdn.co/image/ab67616d0000b2732051e219a4af7648223953c1,1980-11-08,1980.0,False,75.0,https://p.scdn.co/mp3-preview/f083e10256ed808521430ff95128f4b8253d1a21?cid=484c8fc1e0c54669ac770f80991a8280,67,3510383
Fanny - Charity Ball [Rock] (1971),Charity Ball,Fanny,Charity Ball,Fanny,Charity Ball - Single Version,Fanny,rock,"'colombian pop', 'latin pop', 'latin viral pop'",Fanny - Charity Ball (1971) | LIVE,2023-01-17,73.0,440.0,,youtube,,,,https://www.youtube.com/watch?v=RWqFMAjO2a8,RWqFMAjO2a8,0MVGKQzBJkVho0eSvfmxs2,77.8,-979.6,E,-9.796,0.0,52.0,4.57,27.4,12.2,32.9,135,audio_features,spotify:track:0MVGKQzBJkVho0eSvfmxs2,https://api.spotify.com/v1/tracks/0MVGKQzBJkVho0eSvfmxs2,https://api.spotify.com/v1/audio-analysis/0MVGKQzBJkVho0eSvfmxs2,02:29,4.0,https://i.scdn.co/image/ab67616d0000b27369653577ae009840f17a4632,2002-01-01,2002.0,False,13.0,https://p.scdn.co/mp3-preview/dfd938f6125e8cd70459df62d8f85ed3d863af4b?cid=484c8fc1e0c54669ac770f80991a8280,60,928846
Wildermiss - W.I.F.I. [Indie Rock] (2022),W.I.F.I.,Wildermiss,W.I.F.I.,Wildermiss,W.I.F.I.,Wildermiss,indie rock,'denver indie',"Wildermiss - ""W.I.F.I."" (Official Music Video)",2023-01-22,51.0,405.0,,youtube,,,,https://www.youtube.com/watch?v=ZGveFWX-DzA,ZGveFWX-DzA,0uCZL1ykWn0VI3g08huLJ4,64.3,-705.6,Bb,-7.056,0.0,61.5,4.07,1.44,2.24,9.05,94,audio_features,spotify:track:0uCZL1ykWn0VI3g08huLJ4,https://api.spotify.com/v1/tracks/0uCZL1ykWn0VI3g08huLJ4,https://api.spotify.com/v1/audio-analysis/0uCZL1ykWn0VI3g08huLJ4,03:22,4.0,https://i.scdn.co/image/ab67616d0000b273eda32601892cc971f58dcf38,2022-07-06,2022.0,False,33.0,https://p.scdn.co/mp3-preview/e4a3bf085fc101ab737dd6017ec979e3e72683db?cid=484c8fc1e0c54669ac770f80991a8280,31,9416
The B-52's - Rock Lobster [New Wave],Rock Lobster,The B-52s,Rock Lobster,The B-52s,Rock Lobster,The B-52's,new wave,"'art rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'post-punk', 'rock', 'zolo'",The B-52's - Rock Lobster (Countdown 1980),2023-01-22,44.2,391.0,,youtube,,,,https://www.youtube.com/watch?v=2VCCiY17hKw,2VCCiY17hKw,2Q5wSOwq6BDSu7sSVMNrtT,88.2,-831.5,Ab,-8.315,1.0,59.2,4.68,0.88,1.55,5.06,92,audio_features,spotify:track:2Q5wSOwq6BDSu7sSVMNrtT,https://api.spotify.com/v1/tracks/2Q5wSOwq6BDSu7sSVMNrtT,https://api.spotify.com/v1/audio-analysis/2Q5wSOwq6BDSu7sSVMNrtT,06:49,4.0,https://i.scdn.co/image/ab67616d0000b2739e2d3bc7ecb09e5124cd3f97,1979-07-11,1979.0,False,60.0,,61,912762
A Perfect Circle - 3 Libras [Alt Rock],3 Libras,A Perfect Circle,3 Libras,A Perfect Circle,3 Libras,A Perfect Circle,alt rock,"'alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup'",A Perfect Circle - 3 Libras,2023-01-23,21.1,292.0,,youtube,,,,https://www.youtube.com/watch?v=u9MAg9E5K3w,u9MAg9E5K3w,5kHkaBN8OEQlmXfQkACxSt,74.4,-824.8,A,-8.248,1.0,51.8,3.74,0.38,0.7,7.8,144,audio_features,spotify:track:5kHkaBN8OEQlmXfQkACxSt,https://api.spotify.com/v1/tracks/5kHkaBN8OEQlmXfQkACxSt,https://api.spotify.com/v1/audio-analysis/5kHkaBN8OEQlmXfQkACxSt,03:39,3.0,https://i.scdn.co/image/ab67616d0000b2732d73b494efcb99356f8c7b28,2000-01-01,2000.0,False,61.0,,64,1643706
Coco and the Lost -- Everything Is Fine [indie pop] (2022),Everything Is Fine,Coco and the Lost,Everything Is Fine!,Coco And The Lost,Everything Is Fine!,Coco and the Lost,indie pop,'britpop revival',Coco And The Lost - Everything Is Fine!,2023-01-18,72.5,271.0,,youtube,,,,https://www.youtube.com/watch?v=ueCBUvxBz10,ueCBUvxBz10,1vgIz1OHY7bxJcXiTGdQ5F,75.0,-478.6,Bb,-4.786,1.0,71.7,4.54,19.5,0.73,13.1,144,audio_features,spotify:track:1vgIz1OHY7bxJcXiTGdQ5F,https://api.spotify.com/v1/tracks/1vgIz1OHY7bxJcXiTGdQ5F,https://api.spotify.com/v1/audio-analysis/1vgIz1OHY7bxJcXiTGdQ5F,03:03,4.0,https://i.scdn.co/image/ab67616d0000b273753c0d2424c42d7855567037,2022-10-07,2022.0,False,10.0,https://p.scdn.co/mp3-preview/ed562e236d7a969b577ffc907ae4ccc23e25a46a?cid=484c8fc1e0c54669ac770f80991a8280,9,812
Shake the Baby Til the Love Comes Out -- Utility Myth (Live) [Math Rock / Instrumental] (2017),Utility Myth,Shake the Baby Til the Love Comes Out,Utility Myth - Live at the Anthill,Shake the Baby Til the Love Comes Out,Utility Myth,Shake the Baby Til the Love Comes Out,"math rock, instrumental",,Shake the Baby Til the Love Comes Out - Utility Myth - Live at the Anthill,2023-01-20,18.1,248.0,,youtube,,,,https://www.youtube.com/watch?v=RZt_Rr7glmY,RZt_Rr7glmY,6WLTKololTh2mazWbveqh1,96.7,-554.6,B/Cb,-5.546,0.0,37.0,35.2,1.21,88.4,40.3,113,audio_features,spotify:track:6WLTKololTh2mazWbveqh1,https://api.spotify.com/v1/tracks/6WLTKololTh2mazWbveqh1,https://api.spotify.com/v1/audio-analysis/6WLTKololTh2mazWbveqh1,03:40,4.0,https://i.scdn.co/image/ab67616d0000b2731bac98b98c5f3c47918d02d2,2019-12-27,2019.0,False,2.0,https://p.scdn.co/mp3-preview/75380574ca6a4096aea44bffed33606cfd0b2ad4?cid=484c8fc1e0c54669ac770f80991a8280,1,300
James - Laid [Alt rock],Laid,James,,,Laid,James,alt rock,"'pop', 'talent show', 'uk pop'",Laid,2023-01-22,75.5,145.0,,youtube,,,,https://www.youtube.com/watch?v=mC53oRIo0zQ,mC53oRIo0zQ,2CdS3DRqWR5LAhy4hM5X9W,90.9,-945.1,C,-9.451,1.0,45.7,3.17,0.16,0.03,13.5,115,audio_features,spotify:track:2CdS3DRqWR5LAhy4hM5X9W,https://api.spotify.com/v1/tracks/2CdS3DRqWR5LAhy4hM5X9W,https://api.spotify.com/v1/audio-analysis/2CdS3DRqWR5LAhy4hM5X9W,02:36,4.0,https://i.scdn.co/image/ab67616d0000b273b67dbb84e0c1f82be886c8ea,1993-01-01,1993.0,False,70.0,,82,10959520
