r_title,r_post_song,r_post_artist,r_media_song,r_media_artist,sp_song,sp_artist,r_genres,sp_genres,r_media_title,r_post_date,r_upvote_ratio,r_score,bc_embed_link,link_source,sc_embed_link,sc_link,sp_link,yt_link,yt_video_id,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,sp_artwork_640px,sp_release_date,sp_release_year,sp_explicit,sp_popularity,sp_audio_preview,sp_artist_popularity,sp_follower_count
Less Than Jake - The Science of Selling Yourself Short [Ska Punk],The Science of Selling Yourself Short,Less Than Jake,,,The Science of Selling Yourself Short,Less Than Jake,ska punk,"'modern ska punk', 'pop punk', 'punk', 'ska', 'ska punk', 'skate punk'",The Science Of Selling Yourself Short (Video),2022-12-27,93.7,4613.0,,youtube,,,,https://www.youtube.com/watch?v=krXG307d4k8,krXG307d4k8,1iD0a0plhO55cWEJa5UGcZ,81.5,-354.6,F,-3.546,1.0,71.9,3.05,16.0,0.0,3.67,93,audio_features,spotify:track:1iD0a0plhO55cWEJa5UGcZ,https://api.spotify.com/v1/tracks/1iD0a0plhO55cWEJa5UGcZ,https://api.spotify.com/v1/audio-analysis/1iD0a0plhO55cWEJa5UGcZ,03:06,4.0,https://i.scdn.co/image/ab67616d0000b27346b71e44bcda9ea6eba4182e,2003-05-19,2003.0,False,55.0,https://p.scdn.co/mp3-preview/f614ae76b4c9e0ac6e3afe7d7636968e8b9fcc9c?cid=484c8fc1e0c54669ac770f80991a8280,54,339308
Bill Withers - Ain't No Sunshine [Soul],Aint No Sunshine,Bill Withers,Aint No Sunshine,Bill Withers,Ain't No Sunshine,Bill Withers,soul,"'funk', 'quiet storm', 'soul'",Bill Withers - Ain't No Sunshine (Official Audio),2022-12-29,51.5,2498.0,,youtube,,,,https://www.youtube.com/watch?v=YuKfiH0Scao,YuKfiH0Scao,1k1Bqnv2R0uJXQN4u6LKYt,41.5,-1145.1,E,-11.451,0.0,52.7,12.2,45.7,0.0,11.7,78,audio_features,spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,https://api.spotify.com/v1/tracks/1k1Bqnv2R0uJXQN4u6LKYt,https://api.spotify.com/v1/audio-analysis/1k1Bqnv2R0uJXQN4u6LKYt,02:05,4.0,https://i.scdn.co/image/ab67616d0000b273e1e350d06ffebd2e19e047ce,1971-05-01,1971.0,False,80.0,https://p.scdn.co/mp3-preview/966e700ba618a7a059e89ca52be28498c35415ff?cid=484c8fc1e0c54669ac770f80991a8280,72,1412308
ZYNE - Rift Apart [Spacecore] (2022),Rift Apart,ZYNE,Rift Apart,ZYNE,Rift Apart,ZYNE,spacecore,'white noise',ZYNE - Rift Apart,2022-12-28,18.9,1477.0,,youtube,,,,https://www.youtube.com/watch?v=UtYBnKiSilE,UtYBnKiSilE,27Kdm74d1zIHTUc2wSLe3r,89.4,-758.9,Db/C#,-7.589,0.0,52.4,7.15,0.2,0.2,9.35,140,audio_features,spotify:track:27Kdm74d1zIHTUc2wSLe3r,https://api.spotify.com/v1/tracks/27Kdm74d1zIHTUc2wSLe3r,https://api.spotify.com/v1/audio-analysis/27Kdm74d1zIHTUc2wSLe3r,02:27,4.0,https://i.scdn.co/image/ab67616d0000b273987af9838c7150a9cabe721a,2022-12-23,2022.0,False,38.0,https://p.scdn.co/mp3-preview/ef4cd3611593289d5be63768aeaeb403f6609b29?cid=484c8fc1e0c54669ac770f80991a8280,48,172
"Filter - Hey Man, Nice Shot [Rock]","Hey Man, Nice Shot",Filter,"Hey Man, Nice Shot",Filter,"Hey Man, Nice Shot - Remastered Version",Filter,rock,"'alternative metal', 'alternative rock', 'grunge', 'industrial metal', 'industrial rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'rock'","Filter - Hey Man, Nice Shot (Official Music Video)",2022-12-29,30.5,500.0,,youtube,,,,https://www.youtube.com/watch?v=o9mJ82x_l-E,o9mJ82x_l-E,1IyHPt3b6BrhdMwNyk0VM0,58.8,-1077.3,Db/C#,-10.773,1.0,48.0,3.39,0.21,71.2,31.9,177,audio_features,spotify:track:1IyHPt3b6BrhdMwNyk0VM0,https://api.spotify.com/v1/tracks/1IyHPt3b6BrhdMwNyk0VM0,https://api.spotify.com/v1/audio-analysis/1IyHPt3b6BrhdMwNyk0VM0,05:14,4.0,https://i.scdn.co/image/ab67616d0000b273528903c46e4426b95a2c6d36,1995-04-11,1995.0,False,64.0,,56,465100
Lady Flash - アストロちっく・アラスカ [Japanese indie] (2022),アストロちっく・アラスカ,Lady Flash,アストロちっく・アラスカ,LADY FLASH,*〜アスタリスク〜,ORANGE RANGE,japanese indie,"'j-pop', 'j-poprock', 'j-rock', 'okinawan pop'",LADY FLASH / アストロちっく・アラスカ (Official Music Video),2022-12-24,67.7,497.0,,youtube,,,,https://www.youtube.com/watch?v=bCqzq6e_OdY,bCqzq6e_OdY,6MKOd8KDFzwpu8Vz6ccZU5,93.1,-398.3,F,-3.983,1.0,57.0,4.08,2.6,0.02,31.2,127,audio_features,spotify:track:6MKOd8KDFzwpu8Vz6ccZU5,https://api.spotify.com/v1/tracks/6MKOd8KDFzwpu8Vz6ccZU5,https://api.spotify.com/v1/audio-analysis/6MKOd8KDFzwpu8Vz6ccZU5,04:15,4.0,https://i.scdn.co/image/ab67616d0000b273bb6fec67ceac6cc0f584f7af,2005-01-01,2005.0,False,60.0,https://p.scdn.co/mp3-preview/27057e8cd1ef27d62392302c2ac031d8cdb281ea?cid=484c8fc1e0c54669ac770f80991a8280,56,456319
FLIPPENDO ! — Space Cartel [chiptune] (2022),Space Cartel,FLIPPENDO !,,,Codicia,Space Castorz,chiptune,,FLIPPENDO !   Space Cartel (CHIPTUNE / CBRPNK / GAME BOY),2022-12-29,25.8,400.0,,youtube,,,,https://www.youtube.com/watch?v=_bfzAr7m5CM,_bfzAr7m5CM,4XdlPRcZPewuyk2kHjFQIu,77.9,-717.2,C,-7.172,0.0,75.6,5.23,1.58,1.31,3.79,126,audio_features,spotify:track:4XdlPRcZPewuyk2kHjFQIu,https://api.spotify.com/v1/tracks/4XdlPRcZPewuyk2kHjFQIu,https://api.spotify.com/v1/audio-analysis/4XdlPRcZPewuyk2kHjFQIu,03:20,4.0,https://i.scdn.co/image/ab67616d0000b273bca942085b545270b93ff039,2022-10-28,2022.0,False,23.0,https://p.scdn.co/mp3-preview/7d7e42a81a680fe743c188e28322437645c62a29?cid=484c8fc1e0c54669ac770f80991a8280,15,118
Temple of the Dog - Call Me a Dog [Alt Rock],Call Me a Dog,Temple of the Dog,,,Call Me A Dog,Temple Of The Dog,alt rock,"'alternative metal', 'alternative rock', 'grunge', 'hard rock', 'pop rock', 'rock', 'supergroup'",Call Me A Dog,2022-12-29,32.7,367.0,,youtube,,,,https://www.youtube.com/watch?v=i7dvT047kjo,i7dvT047kjo,5MRRZxscYnbYKHvOQdxtdw,59.1,-971.2,G,-9.712,1.0,29.4,3.8,15.3,0.0,12.6,146,audio_features,spotify:track:5MRRZxscYnbYKHvOQdxtdw,https://api.spotify.com/v1/tracks/5MRRZxscYnbYKHvOQdxtdw,https://api.spotify.com/v1/audio-analysis/5MRRZxscYnbYKHvOQdxtdw,05:04,3.0,https://i.scdn.co/image/ab67616d0000b273483c3d93af76b1f635f9dc7d,1990-01-01,1990.0,False,52.0,,56,1097142
Gaerea - Salve [Black Metal] (2022),Salve,Gaerea,Salve,GAEREA,Salve,Gaerea,black metal,"'portuguese metal', 'post-black metal', 'voidgaze'",GAEREA - 'Salve' (official music video) 2022,2022-12-26,33.0,347.0,,youtube,,,,https://www.youtube.com/watch?v=kIAoJxmRFQc,kIAoJxmRFQc,3MV9rmFHKTu4LbHGwVA1lu,93.2,-206.6,E,-2.066,1.0,16.3,9.26,0.0,36.9,25.4,199,audio_features,spotify:track:3MV9rmFHKTu4LbHGwVA1lu,https://api.spotify.com/v1/tracks/3MV9rmFHKTu4LbHGwVA1lu,https://api.spotify.com/v1/audio-analysis/3MV9rmFHKTu4LbHGwVA1lu,05:25,4.0,https://i.scdn.co/image/ab67616d0000b2735670d0a9e4bb4cc3eda4b9c6,2022-09-23,2022.0,False,39.0,https://p.scdn.co/mp3-preview/83bef29bf498a4d8bbff14be02c1a1ad7feab388?cid=484c8fc1e0c54669ac770f80991a8280,36,31424
"JFDR -- White Sun, live on kexp [electronic / indie / low fi] (2016)","White Sun, live on kexp",JFDR,White Sun,JFDR,White Sun,JFDR,"electronic, indie, low fi",'icelandic indie',JFDR - White Sun (Live on KEXP),2022-12-27,18.1,292.0,,youtube,,,,https://www.youtube.com/watch?v=DXluz_6sewE,DXluz_6sewE,5ROW9ymB6dGoQzDRNxaJC6,23.9,-1330.5,A,-13.305,0.0,48.8,2.9,92.9,0.12,10.7,112,audio_features,spotify:track:5ROW9ymB6dGoQzDRNxaJC6,https://api.spotify.com/v1/tracks/5ROW9ymB6dGoQzDRNxaJC6,https://api.spotify.com/v1/audio-analysis/5ROW9ymB6dGoQzDRNxaJC6,04:28,5.0,https://i.scdn.co/image/ab67616d0000b2737cb9e0da360e780099d72692,2017-03-17,2017.0,False,30.0,https://p.scdn.co/mp3-preview/849625d143b3695ccf5950f456778ce0552f067a?cid=484c8fc1e0c54669ac770f80991a8280,37,21538
Esthero - Superheroes [Trip-Hop] (1998),Superheroes,Esthero,,,Superheroes,Esthero,trip-hop,"'electronica', 'trip hop'",Superheroes,2022-12-25,61.2,264.0,,youtube,,,,https://www.youtube.com/watch?v=IZ9KUs0QRmw,IZ9KUs0QRmw,2akoq472I49TzrFSJjjf47,35.8,-1139.5,D,-11.395,1.0,68.6,2.97,82.8,45.2,11.0,79,audio_features,spotify:track:2akoq472I49TzrFSJjjf47,https://api.spotify.com/v1/tracks/2akoq472I49TzrFSJjjf47,https://api.spotify.com/v1/audio-analysis/2akoq472I49TzrFSJjjf47,03:58,4.0,https://i.scdn.co/image/ab67616d0000b273456b5c223b220f3bbbe9fa9f,1998-04-14,1998.0,False,38.0,https://p.scdn.co/mp3-preview/ebc6e7eea3c2959066e413b5f1958c6f813a1ec3?cid=484c8fc1e0c54669ac770f80991a8280,39,36692
