r_title,r_media_title,r_post_date,r_upvote_ratio,r_score,r_media_data,r_post_artist,r_post_song,r_media_artist,r_media_song,r_genres,link_source,sp_link,yt_link,yt_video_id,sc_link,sc_embed_link,bc_embed_link,video_title,channel_title,publish_date,vid_duration,view_count,thumbnail_standard,like_count,comment_count,video_tags,view_count_readable,like_count_readable,comment_count_readable,vid_duration_readable,publish_date_readable,r_score_readable
Someday - The Strokes [Indie Rock],The Strokes - Someday,2023-02-13,0.95,893.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'The Strokes - Someday', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/FFnjZY1vRzk?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""The Strokes - Someday""></iframe>', 'author_name': 'EAJ1523', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/FFnjZY1vRzk/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@EAJ1523'}}",Someday,The Strokes,The Strokes,Someday,indie rock,youtube,,https://www.youtube.com/watch?v=FFnjZY1vRzk,FFnjZY1vRzk,,,,The Strokes - Someday,EAJ1523,2009-02-03T00:32:22Z,PT3M12S,13538826,https://i.ytimg.com/vi/FFnjZY1vRzk/hqdefault.jpg,79432,2348,"['the', 'strokes', 'someday', 'music', 'is', 'this', 'it', 'album', 'Julian', 'Casablancas', 'songs', 'indie', 'rock', '2001']",13.5M,79.4K,2.35K,03:12,2009-02-03,893
Prince - Purple Rain During Super Bowl [Rock],Prince Performs “Purple Rain” During Downpour | Super Bowl XLI Halftime Show | NFL,2023-02-14,0.92,827.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Prince Performs “Purple Rain” During Downpour | Super Bowl XLI Halftime Show | NFL', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/7NN3gsSf-Ys?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Prince Performs “Purple Rain” During Downpour | Super Bowl XLI Halftime Show | NFL""></iframe>', 'author_name': 'NFL', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/7NN3gsSf-Ys/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@NFL'}}",Prince,Purple Rain During Super Bowl,Prince Performs “Purple Rain” During Downpour,Super Bowl XLI Halftime Show | NFL,rock,youtube,,https://www.youtube.com/watch?v=7NN3gsSf-Ys,7NN3gsSf-Ys,,,,Prince Performs “Purple Rain” During Downpour | Super Bowl XLI Halftime Show | NFL,NFL,2016-02-12T21:00:00Z,PT8M13S,49909655,https://i.ytimg.com/vi/7NN3gsSf-Ys/hqdefault.jpg,378053,29895,"['nfl', 'football', 'fb', 'game', 'play', 'sports', 'offense', 'defense', 'amazing', 'big play', 'highlight', 'highlights', 'afc', 'nfc', 'division', 'super bowl', 'playoffs', 'recap', 'prince', 'super bowl XLI', 'halftime show', 'guitar', 'purple rain', 'We Will Rock You', ""Let's Go Crazy"", 'All Along the Watchtower', 'Best of You', 'Prince', 'best', 'ever', 'all time', 'Super Bowl', 'hafl time show', 'super bowl halftime', 'super bowl half time', 'super bowl 41', 'super bowl xli', 'incredible', 'best guitarist', 'performer', 'performance', 'legend']",49.9M,378K,29.9K,08:13,2016-02-12,827
"The Cult - She Sells Sanctuary [Rock] 1985 Ian Astbury was always on of my favorite front men. He had the voice, looks and moves.",The Cult - She Sells Sanctuary,2023-02-14,0.92,512.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'The Cult - She Sells Sanctuary', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/ZCOSPtyZAPA?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""The Cult - She Sells Sanctuary""></iframe>', 'author_name': 'The Arkive', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/ZCOSPtyZAPA/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@BeggarsArchive'}}",The Cult,She Sells Sanctuary,The Cult,She Sells Sanctuary,rock,youtube,,https://www.youtube.com/watch?v=ZCOSPtyZAPA,ZCOSPtyZAPA,,,,The Cult - She Sells Sanctuary,The Arkive,2013-01-11T11:38:08Z,PT4M21S,60239090,https://i.ytimg.com/vi/ZCOSPtyZAPA/hqdefault.jpg,305611,20207,"['She Sells Sanctuary', 'The Cult (Musical Group)', 'Billy Duffy', 'Ian Astbury', 'The Arkive', 'Beggars Arkive', 'music video', ""Guitar Rock: Awesome 80's album"", 'rock classic', ""80's music"", ""best 80's rock songs"", 'Beggars Banquet', 'working from home', 'working from home music', 'working from home alternative music', 'alternative classics', 'music for home working', 'free working from home playlist', 'working from home playlist', 'the cult']",60.2M,306K,20.2K,04:21,2013-01-11,512
The Cure - Burn [Gothic Rock],The Cure - Burn (lyrics),2023-02-14,0.95,468.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'The Cure - Burn (lyrics)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/mfTkL-ZHDCY?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""The Cure - Burn (lyrics)""></iframe>', 'author_name': 'SarahLorrai', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/mfTkL-ZHDCY/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@SarahLorrai'}}",The Cure,Burn,The Cure,Burn,gothic rock,youtube,,https://www.youtube.com/watch?v=mfTkL-ZHDCY,mfTkL-ZHDCY,,,,The Cure - Burn (lyrics),SarahLorrai,2010-08-16T16:27:05Z,PT6M17S,15819843,https://i.ytimg.com/vi/mfTkL-ZHDCY/hqdefault.jpg,81451,4979,"['the', 'cure', 'burn', 'crow', 'soundtrack']",15.8M,81.5K,4.98K,06:17,2010-08-16,468
311 - Down [Rap Rock],311 - Down,2023-02-13,0.86,360.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': '311 - Down', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/lYBIRHi5-o8?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""311 - Down""></iframe>', 'author_name': '311VEVO', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/lYBIRHi5-o8/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@311VEVO'}}",311,Down,311,Down,rap rock,youtube,,https://www.youtube.com/watch?v=lYBIRHi5-o8,lYBIRHi5-o8,,,,311 - Down,311VEVO,2009-10-25T07:07:28Z,PT2M52S,16408843,https://i.ytimg.com/vi/lYBIRHi5-o8/hqdefault.jpg,85736,5445,"['ill be here awhile', 'acoustic', 'sunset in july', '311 lyrics', 'music', 'down', 'instrumental', '311 live', 'drum cover', 'come original', 'beautiful disaster', 'vevo', 'guitar cover', 'official', 'download', 'letterman', 'Down lyrics', 'karaoke', 'remix', 'lyrics', 'audio', 'official video', 'cover', 'amber', 'all mixed up', 'Down live', '311 Down official', 'love song', 'Sony', 'demo', '311Vevo', 'music video', 'playlist', 'single', 'album', 'full album', 'live', '311', '311 Down', 'Down', 'Jive', 'Pop']",16.4M,85.7K,5.44K,02:52,2009-10-25,360
Mack Allen Smith — She Broke My Heart at Walgreens [Country / Rockabilly] (2019),She Broke My Heart at Walgreens,2023-02-09,0.91,352.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'She Broke My Heart at Walgreens', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/NeJ_ww7RcwI?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""She Broke My Heart at Walgreens""></iframe>', 'author_name': 'Mack Allen Smith - Topic', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/NeJ_ww7RcwI/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCqh67s0-Z2kdaM3ebq4fM4w'}}",Mack Allen Smith,She Broke My Heart at Walgreens,,,"country, rockabilly",youtube,,https://www.youtube.com/watch?v=NeJ_ww7RcwI,NeJ_ww7RcwI,,,,She Broke My Heart at Walgreens,Mack Allen Smith - Topic,2019-10-29T21:08:07Z,PT2M29S,3386,https://i.ytimg.com/vi/NeJ_ww7RcwI/hqdefault.jpg,86,4,"['Mack', 'Allen', 'Smith', 'She', 'Broke', 'My', 'Heart', 'at', 'Walgreens']",3.39K,86,4,02:29,2019-10-29,352
Akalé Wubé - Anbessa (feat Manu Dibango) [Ethiopian Jazz] (2014),Akalé Wubé - Anbessa (feat  Manu Dibango),2023-02-10,0.95,271.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Akalé Wubé - Anbessa (feat  Manu Dibango)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/TT6O4bDioAE?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Akalé Wubé - Anbessa (feat  Manu Dibango)""></iframe>', 'author_name': 'Andrew MusicOdyssey', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/TT6O4bDioAE/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@andrewmusicodyssey8874'}}",Akalé Wubé,Anbessa,Akalé Wubé,Anbessa,ethiopian jazz,youtube,,https://www.youtube.com/watch?v=TT6O4bDioAE,TT6O4bDioAE,,,,Akalé Wubé - Anbessa (feat  Manu Dibango),Andrew MusicOdyssey,2014-11-22T12:09:54Z,PT3M42S,200071,https://i.ytimg.com/vi/TT6O4bDioAE/hqdefault.jpg,2199,33,,200K,2.2K,33,03:42,2014-11-22,271
3 Melancholy Gypsys - The 3 [Hip Hop] (2021),"3 Melancholy Gypsys - The 3 - Official Music Video (Murs, Eligh, Scarub)",2023-02-10,0.83,247.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': '3 Melancholy Gypsys - The 3 - Official Music Video (Murs, Eligh, Scarub)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/bD1lkdXHPkE?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""3 Melancholy Gypsys - The 3 - Official Music Video (Murs, Eligh, Scarub)""></iframe>', 'author_name': 'MursTv', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/bD1lkdXHPkE/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@MursTv'}}",3 Melancholy Gypsys,The 3,3 Melancholy Gypsys,The 3,hip hop,youtube,,https://www.youtube.com/watch?v=bD1lkdXHPkE,bD1lkdXHPkE,,,,"3 Melancholy Gypsys - The 3 - Official Music Video (Murs, Eligh, Scarub)",MursTv,2020-10-16T18:00:10Z,PT3M41S,91082,https://i.ytimg.com/vi/bD1lkdXHPkE/hqdefault.jpg,5065,580,"['3 Melancholy Gypsys', '3MG', 'The 3', 'Murs', 'Eligh', 'Scarub', 'Hip Hop', 'Rap', 'Three Melancholy', 'Official Music Video', 'New Song', 'West Coast Hip Hop', 'Bay Area Hip Hop', 'Los Angeles', 'Step in the circle', 'Show your styling', 'Living Legends']",91.1K,5.06K,580,03:41,2020-10-16,247
Jake Miller — Cut My Teeth [Folk/Singer Songwriter] (2023),Jacob Miller - “Cut my Teeth” || BackWhenFM,2023-02-10,0.86,231.0,"{'oembed': {'provider_url': 'https://www.youtube.com/', 'title': 'Jacob Miller - “Cut my Teeth” || BackWhenFM', 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/TRbQKi1apo0?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Jacob Miller - “Cut my Teeth” || BackWhenFM""></iframe>', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'version': '1.0', 'author_name': 'BackWhenFM', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/TRbQKi1apo0/hqdefault.jpg', 'type': 'video', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@BackWhenFM'}, 'type': 'youtube.com'}",Jake Miller,Cut My Teeth,Jacob Miller,Cut my Teeth || BackWhenFM,"folk, singer songwriter",youtube,,https://www.youtube.com/watch?v=TRbQKi1apo0,TRbQKi1apo0,,,,Jacob Miller - “Cut my Teeth” || BackWhenFM,BackWhenFM,2023-02-10T20:00:09Z,PT3M54S,2532,https://i.ytimg.com/vi/TRbQKi1apo0/hqdefault.jpg,57,8,,2.53K,57,8,03:54,2023-02-10,231
The Family Rain - - Triumph & Disaster [Rock] (2022),The Family Rain - Triumph & Disaster,2023-02-12,0.88,169.0,"{'oembed': {'provider_url': 'https://www.youtube.com/', 'title': 'The Family Rain - Triumph & Disaster', 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/FcEOI4CyitU?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""The Family Rain - Triumph &amp; Disaster""></iframe>', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'version': '1.0', 'author_name': 'The Family Rain', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/FcEOI4CyitU/hqdefault.jpg', 'type': 'video', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@thefamilyrain'}, 'type': 'youtube.com'}",The Family Rain,Triumph & Disaster,The Family Rain,Triumph & Disaster,rock,youtube,,https://www.youtube.com/watch?v=FcEOI4CyitU,FcEOI4CyitU,,,,The Family Rain - Triumph & Disaster,The Family Rain,2020-05-01T19:00:11Z,PT3M52S,5307,https://i.ytimg.com/vi/FcEOI4CyitU/hqdefault.jpg,252,30,,5.31K,252,30,03:52,2020-05-01,169
