sp_song,sp_artist,r_title,r_media_title,r_post_song,r_post_artist,r_media_song,r_media_artist,id,sp_link,r_score,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,sp_artwork_640px,sp_release_date,sp_release_year,sp_explicit,sp_popularity,sp_audio_preview
Weapon Of Choice,Fatboy Slim,Fatboy Slim - Weapon Of Choice [Rock],Fatboy Slim ft. Bootsy Collins - Weapon Of Choice [Official 4k Video],Weapon Of Choice,Fatboy Slim,Weapon Of Choice,Fatboy Slim ft. Bootsy Collins,08kB9HSfrcIi83rymwgjMz,,3955.0,0.626,0.947,8,-4.608,0,0.057,0.136,0.78,0.209,0.959,195.972,audio_features,spotify:track:08kB9HSfrcIi83rymwgjMz,https://api.spotify.com/v1/tracks/08kB9HSfrcIi83rymwgjMz,https://api.spotify.com/v1/audio-analysis/08kB9HSfrcIi83rymwgjMz,219813,4,https://i.scdn.co/image/ab67616d0000b273bec2d7f1e2e518ccf4af1ce1,2006-01-01,2006,False,46,https://p.scdn.co/mp3-preview/ca2aca656a373eea652828e5535dca3a09df8f4b?cid=484c8fc1e0c54669ac770f80991a8280
Weapon Of Choice,Fatboy Slim,Fatboy Slim - Weapon Of Choice [Rock],Fatboy Slim ft. Bootsy Collins - Weapon Of Choice [Official 4k Video],Weapon Of Choice,Fatboy Slim,Weapon Of Choice,Fatboy Slim ft. Bootsy Collins,08kB9HSfrcIi83rymwgjMz,,3955.0,0.626,0.947,8,-4.608,0,0.057,0.136,0.78,0.209,0.959,195.972,audio_features,spotify:track:08kB9HSfrcIi83rymwgjMz,https://api.spotify.com/v1/tracks/08kB9HSfrcIi83rymwgjMz,https://api.spotify.com/v1/audio-analysis/08kB9HSfrcIi83rymwgjMz,219813,4,https://i.scdn.co/image/ab67616d0000b273bec2d7f1e2e518ccf4af1ce1,2006-01-01,2006,False,46,https://p.scdn.co/mp3-preview/ca2aca656a373eea652828e5535dca3a09df8f4b?cid=484c8fc1e0c54669ac770f80991a8280
Maps,Yeah Yeah Yeahs,Yeah Yeah Yeahs - Maps [Indie Rock],Yeah Yeah Yeahs - Maps (Official Music Video),Maps,Yeah Yeah Yeahs,Maps,Yeah Yeah Yeahs,0hDQV9X1Da5JrwhK8gu86p,,3503.0,0.502,0.941,7,-5.194,1,0.0716,0.000346,0.319,0.553,0.124,119.783,audio_features,spotify:track:0hDQV9X1Da5JrwhK8gu86p,https://api.spotify.com/v1/tracks/0hDQV9X1Da5JrwhK8gu86p,https://api.spotify.com/v1/audio-analysis/0hDQV9X1Da5JrwhK8gu86p,219987,4,https://i.scdn.co/image/ab67616d0000b2731b1cb4ef0f096f9d66fc3dc6,2003-04-29,2003,False,65,
Maps,Yeah Yeah Yeahs,Yeah Yeah Yeahs - Maps [Indie Rock],Yeah Yeah Yeahs - Maps (Official Music Video),Maps,Yeah Yeah Yeahs,Maps,Yeah Yeah Yeahs,0hDQV9X1Da5JrwhK8gu86p,,3503.0,0.502,0.941,7,-5.194,1,0.0716,0.000346,0.319,0.553,0.124,119.783,audio_features,spotify:track:0hDQV9X1Da5JrwhK8gu86p,https://api.spotify.com/v1/tracks/0hDQV9X1Da5JrwhK8gu86p,https://api.spotify.com/v1/audio-analysis/0hDQV9X1Da5JrwhK8gu86p,219987,4,https://i.scdn.co/image/ab67616d0000b2731b1cb4ef0f096f9d66fc3dc6,2003-04-29,2003,False,65,
East Palestine Ohio,Conor Ryan Hennessy,Conor Ryan Hennessy -- East Palestine Ohio [indie folk] (2023),East Palestine Ohio,East Palestine Ohio,Conor Ryan Hennessy,,,2pdIMfHdwf1aX6Jgha3UFk,,638.0,0.749,0.311,10,-11.611,1,0.0464,0.963,0.0,0.121,0.9,98.428,audio_features,spotify:track:2pdIMfHdwf1aX6Jgha3UFk,https://api.spotify.com/v1/tracks/2pdIMfHdwf1aX6Jgha3UFk,https://api.spotify.com/v1/audio-analysis/2pdIMfHdwf1aX6Jgha3UFk,230730,4,https://i.scdn.co/image/ab67616d0000b273bbcc7120f0b3b08200b4133d,2023-02-24,2023,False,0,https://p.scdn.co/mp3-preview/c39169f7868975336cdd741f26e1fca4e43c381b?cid=484c8fc1e0c54669ac770f80991a8280
Waiting Room,Fugazi,Fugazi - Waiting Room [post-hardcore],Fugazi -  Waiting Room,Waiting Room,Fugazi,Waiting Room,Fugazi,2DBlfjL5chsdeULzhTp5K8,,591.0,0.618,0.716,6,-8.224,0,0.0367,0.00473,0.822,0.179,0.545,92.174,audio_features,spotify:track:2DBlfjL5chsdeULzhTp5K8,https://api.spotify.com/v1/tracks/2DBlfjL5chsdeULzhTp5K8,https://api.spotify.com/v1/audio-analysis/2DBlfjL5chsdeULzhTp5K8,173267,4,https://i.scdn.co/image/ab67616d0000b273f18ce5dc5f6b0843d3acb3a1,1989-09-01,1989,False,61,https://p.scdn.co/mp3-preview/d3d2cba449ee418acc8efbb8b37551b772235688?cid=484c8fc1e0c54669ac770f80991a8280
Waiting Room,Fugazi,Fugazi - Waiting Room [post-hardcore],Fugazi -  Waiting Room,Waiting Room,Fugazi,Waiting Room,Fugazi,2DBlfjL5chsdeULzhTp5K8,,591.0,0.618,0.716,6,-8.224,0,0.0367,0.00473,0.822,0.179,0.545,92.174,audio_features,spotify:track:2DBlfjL5chsdeULzhTp5K8,https://api.spotify.com/v1/tracks/2DBlfjL5chsdeULzhTp5K8,https://api.spotify.com/v1/audio-analysis/2DBlfjL5chsdeULzhTp5K8,173267,4,https://i.scdn.co/image/ab67616d0000b273f18ce5dc5f6b0843d3acb3a1,1989-09-01,1989,False,61,https://p.scdn.co/mp3-preview/d3d2cba449ee418acc8efbb8b37551b772235688?cid=484c8fc1e0c54669ac770f80991a8280
Desaparecer,Generacion Suicida,Generación Suicida - Desaparecer [Punk] (2021),Generación Suicida - Desaparecer (Live on KEXP),Desaparecer,Generación Suicida,Desaparecer,Generación Suicida,1F6F39GpSjJG7ZZ966Vbrk,,556.0,0.272,0.89,9,-5.24,0,0.0347,4.04e-05,0.787,0.0725,0.439,144.164,audio_features,spotify:track:1F6F39GpSjJG7ZZ966Vbrk,https://api.spotify.com/v1/tracks/1F6F39GpSjJG7ZZ966Vbrk,https://api.spotify.com/v1/audio-analysis/1F6F39GpSjJG7ZZ966Vbrk,201995,4,https://i.scdn.co/image/ab67616d0000b273b00e201ff7cb7aa244423607,2017-07-14,2017,False,27,https://p.scdn.co/mp3-preview/2b754a48f35a18e739a8843186107c17c0695a0b?cid=484c8fc1e0c54669ac770f80991a8280
Desaparecer,Generacion Suicida,Generación Suicida - Desaparecer [Punk] (2021),Generación Suicida - Desaparecer (Live on KEXP),Desaparecer,Generación Suicida,Desaparecer,Generación Suicida,1F6F39GpSjJG7ZZ966Vbrk,,556.0,0.272,0.89,9,-5.24,0,0.0347,4.04e-05,0.787,0.0725,0.439,144.164,audio_features,spotify:track:1F6F39GpSjJG7ZZ966Vbrk,https://api.spotify.com/v1/tracks/1F6F39GpSjJG7ZZ966Vbrk,https://api.spotify.com/v1/audio-analysis/1F6F39GpSjJG7ZZ966Vbrk,201995,4,https://i.scdn.co/image/ab67616d0000b273b00e201ff7cb7aa244423607,2017-07-14,2017,False,27,https://p.scdn.co/mp3-preview/2b754a48f35a18e739a8843186107c17c0695a0b?cid=484c8fc1e0c54669ac770f80991a8280
Shimmy Shimmy Ya,Ol' Dirty Bastard,Ol' Dirty Bastard - Shimmy Shimmy Ya [Hip Hop],Shimmy Shimmy Ya,Shimmy Shimmy Ya,Ol Dirty Bastard,,,3ABG1UQTk0eLYUAeWkmfMi,,343.0,0.814,0.481,0,-5.183,1,0.245,0.097,3.83e-05,0.0495,0.193,96.252,audio_features,spotify:track:3ABG1UQTk0eLYUAeWkmfMi,https://api.spotify.com/v1/tracks/3ABG1UQTk0eLYUAeWkmfMi,https://api.spotify.com/v1/audio-analysis/3ABG1UQTk0eLYUAeWkmfMi,161400,4,https://i.scdn.co/image/ab67616d0000b2739a8410531478e54ec963c606,1995-01-01,1995,True,65,https://p.scdn.co/mp3-preview/9166d2266d7048597f9c43eb028d60c6e14c0b9a?cid=484c8fc1e0c54669ac770f80991a8280
