r_title,r_post_song,r_post_artist,r_media_song,r_media_artist,sp_song,sp_artist,r_genres,sp_genres,r_media_title,r_post_date,r_upvote_ratio,r_score,bc_embed_link,link_source,sc_embed_link,sc_link,sp_link,yt_link,yt_video_id,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,sp_artwork_640px,sp_release_date,sp_release_year,sp_explicit,sp_popularity,sp_audio_preview,sp_artist_popularity,sp_follower_count
Alkaline Trio - Private Eye [Pop Punk],Private Eye,Alkaline Trio,,,Private Eye,Alkaline Trio,pop punk,"'chicago punk', 'emo', 'pop punk', 'punk', 'skate punk'",Private Eye,2022-11-14,75.4,1940.0,,youtube,,,,https://www.youtube.com/watch?v=ChTFB5Ty-MI,ChTFB5Ty-MI,5W68YeADvFGOegS3TmP7w8,94.7,-482.7,G,-4.827,1.0,41.2,7.26,0.05,0.77,30.0,165,audio_features,spotify:track:5W68YeADvFGOegS3TmP7w8,https://api.spotify.com/v1/tracks/5W68YeADvFGOegS3TmP7w8,https://api.spotify.com/v1/audio-analysis/5W68YeADvFGOegS3TmP7w8,03:30,4.0,https://i.scdn.co/image/ab67616d0000b273224ea7dfd4d6b1fa6e4314e5,2001-01-01,2001.0,True,49.0,https://p.scdn.co/mp3-preview/e01e5791b6d6c0ad543ba68c9cfccaa93b85cd38?cid=484c8fc1e0c54669ac770f80991a8280,55,342902
Violent Femmes - Add It Up [Folk Punk] (1983),Add It Up,Violent Femmes,,,Add It Up,Violent Femmes,folk punk,"'acoustic punk', 'alternative rock', 'pop rock', 'punk', 'rock'",Add It Up,2022-11-15,64.9,555.0,,spotify,,,,,,61QW3AcU1jm5ttPOn8eZhn,76.3,-790.4,E,-7.904,1.0,41.0,33.7,27.3,0.0,5.53,171,audio_features,spotify:track:61QW3AcU1jm5ttPOn8eZhn,https://api.spotify.com/v1/tracks/61QW3AcU1jm5ttPOn8eZhn,https://api.spotify.com/v1/audio-analysis/61QW3AcU1jm5ttPOn8eZhn,04:44,4.0,https://i.scdn.co/image/ab67616d0000b27354096a7f898de0233d76f626,1983-01-01,1983.0,True,54.0,,56,602189
Hole - Violet [Grunge] (1994),Violet,Hole,Violet,Hole,Violet,Hole,grunge,"'alternative rock', 'grunge', 'rock'",Hole - Violet,2022-11-16,38.3,504.0,,youtube,,,,https://www.youtube.com/watch?v=cjI_WDvZEvk,cjI_WDvZEvk,6CHENx8iqzMwavTIz8s0gm,78.0,-649.3,G,-6.493,1.0,28.7,4.69,4.9,0.0,18.4,167,audio_features,spotify:track:6CHENx8iqzMwavTIz8s0gm,https://api.spotify.com/v1/tracks/6CHENx8iqzMwavTIz8s0gm,https://api.spotify.com/v1/audio-analysis/6CHENx8iqzMwavTIz8s0gm,03:24,4.0,https://i.scdn.co/image/ab67616d0000b273be245e5b673371e6f95b19e2,1994-01-01,1994.0,False,62.0,,59,912758
Lyrre - North Star [Metal] (2022),North Star,Lyrre,North Star,LYRRE,North Star,LYRRE,metal,,LYRRE - North Star (OFFICIAL MUSIC VIDEO),2022-11-11,33.0,409.0,,youtube,,,,https://www.youtube.com/watch?v=Fi9N9n1UCB8,Fi9N9n1UCB8,4Cl8ZwJqQe13bymwuL5wZa,91.6,-675.1,Bb,-6.751,0.0,48.4,4.9,0.01,67.3,11.3,116,audio_features,spotify:track:4Cl8ZwJqQe13bymwuL5wZa,https://api.spotify.com/v1/tracks/4Cl8ZwJqQe13bymwuL5wZa,https://api.spotify.com/v1/audio-analysis/4Cl8ZwJqQe13bymwuL5wZa,03:57,4.0,https://i.scdn.co/image/ab67616d0000b2734e6085e4a9d75b44a083e4fd,2022-11-11,2022.0,False,24.0,https://p.scdn.co/mp3-preview/ab2fd13246d17aa59d440d319ca8d49ad6e80085?cid=484c8fc1e0c54669ac770f80991a8280,21,1619
He Is Legend — LORD SLUG [Southern Rock/Metal] (2022),LORD SLUG,He Is Legend,,,LORD SLUG,He Is Legend,"southern rock, metal","'melodic metalcore', 'post-hardcore', 'progressive post-hardcore', 'screamo'",LORD SLUG,2022-11-12,15.3,353.0,,youtube,,,,https://www.youtube.com/watch?v=W8fgbEWfh1U,W8fgbEWfh1U,2bhjjlKCmE7mbeg8Y5X7Od,93.9,-329.1,Db/C#,-3.291,1.0,41.9,5.85,0.1,0.0,27.2,109,audio_features,spotify:track:2bhjjlKCmE7mbeg8Y5X7Od,https://api.spotify.com/v1/tracks/2bhjjlKCmE7mbeg8Y5X7Od,https://api.spotify.com/v1/audio-analysis/2bhjjlKCmE7mbeg8Y5X7Od,05:49,4.0,https://i.scdn.co/image/ab67616d0000b2734f94e30c4a4f2ba3a436531e,2022-11-11,2022.0,False,36.0,,45,72756
Ahab - The Hunt [Funeral Doom Metal] (2006),The Hunt,Ahab,The Hunt,Ahab,The Hunt,Ahab,funeral doom metal,"'atmospheric black metal', 'death doom', 'doom metal', 'funeral doom', 'post-doom metal'",Ahab - The Hunt,2022-11-15,7.32,272.0,,youtube,,,,https://www.youtube.com/watch?v=aqdESsYWS9c,aqdESsYWS9c,0LZg0zQQ2ubZVw29OMdYaD,52.6,-1062.9,G,-10.629,1.0,11.6,3.69,0.18,92.3,8.75,90,audio_features,spotify:track:0LZg0zQQ2ubZVw29OMdYaD,https://api.spotify.com/v1/tracks/0LZg0zQQ2ubZVw29OMdYaD,https://api.spotify.com/v1/audio-analysis/0LZg0zQQ2ubZVw29OMdYaD,11:13,4.0,https://i.scdn.co/image/ab67616d0000b2738f048e88aeb1a9abf9a24e79,2006-01-01,2006.0,False,20.0,,25,31597
Wormrot - Behind Closed Doors [Grindcore] (2022),Behind Closed Doors,Wormrot,Behind Closed Doors,Wormrot,Behind Closed Doors,Wormrot,grindcore,"'deathgrind', 'grindcore', 'post-doom metal', 'powerviolence', 'singaporean metal'",Wormrot - Behind Closed Doors (Official Video),2022-11-16,19.9,267.0,,youtube,,,,https://www.youtube.com/watch?v=yJGYqFAzsHc,yJGYqFAzsHc,5iVgRNeNZI1XKdbJMhRiCK,94.6,-490.1,D,-4.901,1.0,27.8,14.3,0.0,14.1,69.8,107,audio_features,spotify:track:5iVgRNeNZI1XKdbJMhRiCK,https://api.spotify.com/v1/tracks/5iVgRNeNZI1XKdbJMhRiCK,https://api.spotify.com/v1/audio-analysis/5iVgRNeNZI1XKdbJMhRiCK,01:27,3.0,https://i.scdn.co/image/ab67616d0000b27306f0de93513a76d400114e9f,2022-07-08,2022.0,True,35.0,https://p.scdn.co/mp3-preview/64065af3492cf36e092d2b2b3cab38b3fb91c7cd?cid=484c8fc1e0c54669ac770f80991a8280,35,42007
"矢野顕子 Akiko Yano - 悲しくてやりきれない [Synth Pop, City Pop] (1982)",悲しくてやりきれない,矢野顕子 Akiko Yano,悲しくてやりきれない,矢野顕子 Akiko Yano,悲しくてやりきれない,Akiko Yano,"synth pop, city pop","'j-acoustic', 'japanese singer-songwriter', 'shibuya-kei', 'techno kayo'",矢野顕子 Akiko Yano - 悲しくてやりきれない (1982),2022-11-15,74.9,249.0,,youtube,,,,https://www.youtube.com/watch?v=BdttT9Td510,BdttT9Td510,5LNXqSv3tgsalw5xzesoMx,81.7,-807.8,C,-8.078,1.0,75.0,3.69,9.14,54.6,7.62,115,audio_features,spotify:track:5LNXqSv3tgsalw5xzesoMx,https://api.spotify.com/v1/tracks/5LNXqSv3tgsalw5xzesoMx,https://api.spotify.com/v1/audio-analysis/5LNXqSv3tgsalw5xzesoMx,04:54,4.0,https://i.scdn.co/image/ab67616d0000b2735b9d94fdc8c1b5a87c28e0ff,2015-09-16,2015.0,False,3.0,https://p.scdn.co/mp3-preview/dda7247401b941898fe164869ca3932659ac50a0?cid=484c8fc1e0c54669ac770f80991a8280,30,55977
Mutefish -- Old Reggae [gaelic/ pop rock] (2010),Old Reggae,Mutefish,Old Reggae,MUTEFISH,Roots Reggae Music (feat. Don Carlos),Rebelution,"gaelic, pop rock",'reggae rock',MUTEFISH - Old Reggae,2022-11-16,62.5,246.0,,youtube,,,,https://www.youtube.com/watch?v=kMcpwGyMVJU,kMcpwGyMVJU,49CdYBpfABUa0ZfT8FizQZ,56.0,-953.0,Ab,-9.53,1.0,92.0,5.76,5.51,0.0,9.7,140,audio_features,spotify:track:49CdYBpfABUa0ZfT8FizQZ,https://api.spotify.com/v1/tracks/49CdYBpfABUa0ZfT8FizQZ,https://api.spotify.com/v1/audio-analysis/49CdYBpfABUa0ZfT8FizQZ,04:33,4.0,https://i.scdn.co/image/ab67616d0000b273353f607d1714d69c30b61751,2014-06-10,2014.0,False,53.0,https://p.scdn.co/mp3-preview/da1762d04bb41efc68c95ec505e32eb72d65bde4?cid=484c8fc1e0c54669ac770f80991a8280,60,761071
Collin Miller and The Brother Nature — Side By Side [funk/blues] (2018),Side By Side,Collin Miller and The Brother Nature,Collin Miller & the Brother Nature,Side By Side,Side by Side,Collin Miller & the Brother Nature,"funk, blues",'retro soul',"""Side By Side"" - Collin Miller & the Brother Nature - Official Music Video",2022-11-12,61.3,200.0,,youtube,,,,https://www.youtube.com/watch?v=Q5ZJwlq_bkA,Q5ZJwlq_bkA,5RABWGh9kQl6I3WFaGOKje,63.3,-902.0,Db/C#,-9.02,1.0,44.9,5.31,24.9,0.09,5.82,172,audio_features,spotify:track:5RABWGh9kQl6I3WFaGOKje,https://api.spotify.com/v1/tracks/5RABWGh9kQl6I3WFaGOKje,https://api.spotify.com/v1/audio-analysis/5RABWGh9kQl6I3WFaGOKje,05:34,4.0,https://i.scdn.co/image/ab67616d0000b2735fe7c10ae9731fbaf6bca519,2018-03-10,2018.0,False,41.0,https://p.scdn.co/mp3-preview/b0a44a3db465dc0da9cfa167765c4e97f597ee42?cid=484c8fc1e0c54669ac770f80991a8280,24,2385
