r_title,r_post_song,r_post_artist,r_media_song,r_media_artist,sp_song,sp_artist,r_genres,sp_genres,r_media_title,r_post_date,r_upvote_ratio,r_score,bc_embed_link,link_source,sc_embed_link,sc_link,sp_link,yt_link,yt_video_id,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,sp_artwork_640px,sp_release_date,sp_release_year,sp_explicit,sp_popularity,sp_audio_preview,sp_artist_popularity,sp_follower_count
Taking Back Sunday - Cute Without the 'E' (Cut From the Team) [Emo],Cute Without the E,Taking Back Sunday,,,Cute Without The 'E' (Cut From The Team) - Remastered,Taking Back Sunday,emo,"'emo', 'pop punk'",Cute Without The 'E' (Cut From The Team),2023-01-19,57.2,1425.0,,youtube,,,,https://www.youtube.com/watch?v=HkYwmrMAx48,HkYwmrMAx48,6OyKBwLzq4h15XmxeWf5n4,89.0,-224.8,D,-2.248,0.0,39.8,4.73,2.52,0.0,4.72,95,audio_features,spotify:track:6OyKBwLzq4h15XmxeWf5n4,https://api.spotify.com/v1/tracks/6OyKBwLzq4h15XmxeWf5n4,https://api.spotify.com/v1/audio-analysis/6OyKBwLzq4h15XmxeWf5n4,03:32,4.0,https://i.scdn.co/image/ab67616d0000b2731fc8bc00af1c877377d1dcf8,2002-03-26,2002.0,False,68.0,,63,771433
Portishead - Sour times [trip hop],Sour times,Portishead,Sour Times,Portishead,Sour Times,Portishead,trip hop,"'dark pop', 'electronica', 'laboratorio', 'trip hop'",Portishead - Sour Times,2023-01-18,55.0,470.0,,youtube,,,,https://www.youtube.com/watch?v=un8EW82GwKc,un8EW82GwKc,6vTtCOimcPs5H1Jr9d0Aep,63.3,-668.0,Ab,-6.68,0.0,69.8,4.06,5.08,27.2,26.4,94,audio_features,spotify:track:6vTtCOimcPs5H1Jr9d0Aep,https://api.spotify.com/v1/tracks/6vTtCOimcPs5H1Jr9d0Aep,https://api.spotify.com/v1/audio-analysis/6vTtCOimcPs5H1Jr9d0Aep,04:12,4.0,https://i.scdn.co/image/ab67616d0000b273dc20397b139223620af148f6,1994-01-01,1994.0,False,63.0,,63,1694696
Fanny - Charity Ball [Rock] (1971),Charity Ball,Fanny,Charity Ball,Fanny,Charity Ball - Single Version,Fanny,rock,"'colombian pop', 'latin pop', 'latin viral pop'",Fanny - Charity Ball (1971) | LIVE,2023-01-17,73.0,437.0,,youtube,,,,https://www.youtube.com/watch?v=RWqFMAjO2a8,RWqFMAjO2a8,0MVGKQzBJkVho0eSvfmxs2,77.8,-979.6,E,-9.796,0.0,52.0,4.57,27.4,12.2,32.9,135,audio_features,spotify:track:0MVGKQzBJkVho0eSvfmxs2,https://api.spotify.com/v1/tracks/0MVGKQzBJkVho0eSvfmxs2,https://api.spotify.com/v1/audio-analysis/0MVGKQzBJkVho0eSvfmxs2,02:29,4.0,https://i.scdn.co/image/ab67616d0000b27369653577ae009840f17a4632,2002-01-01,2002.0,False,14.0,https://p.scdn.co/mp3-preview/dfd938f6125e8cd70459df62d8f85ed3d863af4b?cid=484c8fc1e0c54669ac770f80991a8280,60,926818
Mad Caddies -- Coyote [Ska/Reggae] (2007),Coyote,Mad Caddies,Coyote,Mad Caddies,Coyote,Mad Caddies,"ska, reggae","'modern ska punk', 'punk', 'ska', 'ska punk', 'skate punk'",Mad Caddies - Coyote,2023-01-14,86.7,345.0,,youtube,,,,https://www.youtube.com/watch?v=DXYipPdfDoI,DXYipPdfDoI,0Np2PkYnOMQUxXceLPwfEy,75.5,-636.6,A,-6.366,0.0,49.6,3.81,0.47,5.25,6.81,88,audio_features,spotify:track:0Np2PkYnOMQUxXceLPwfEy,https://api.spotify.com/v1/tracks/0Np2PkYnOMQUxXceLPwfEy,https://api.spotify.com/v1/audio-analysis/0Np2PkYnOMQUxXceLPwfEy,04:09,4.0,https://i.scdn.co/image/ab67616d0000b273a816e152bb89e46368ff05f1,2007-05-01,2007.0,False,35.0,https://p.scdn.co/mp3-preview/1aade3d028fa8e1100c397eb7159982c99f7e2c4?cid=484c8fc1e0c54669ac770f80991a8280,45,133601
Black Hour — Age of War [Pakistani Metal] (2022),Age of War,Black Hour,,,Age of War,Black Hour,pakistani metal,'pakistani rock',Age of War,2023-01-15,42.5,307.0,,youtube,,,,https://www.youtube.com/watch?v=lgqpmYDHxDU,lgqpmYDHxDU,5vdSWP6D6BsaM0zDRnDbCd,98.9,220.3,Eb,2.203,0.0,7.51,7.89,0.36,0.14,29.1,181,audio_features,spotify:track:5vdSWP6D6BsaM0zDRnDbCd,https://api.spotify.com/v1/tracks/5vdSWP6D6BsaM0zDRnDbCd,https://api.spotify.com/v1/audio-analysis/5vdSWP6D6BsaM0zDRnDbCd,03:30,3.0,https://i.scdn.co/image/ab67616d0000b27310a7bade377bd0dee2ea1b3d,2011-10-25,2011.0,False,3.0,https://p.scdn.co/mp3-preview/89aa0ffd896bf0079dc26b4a1066e50b5a7d65f0?cid=484c8fc1e0c54669ac770f80991a8280,7,5506
Circle Takes the Square — Crowquill [screamo / grind / post hardcore] (2003),Crowquill,Circle Takes the Square,Crowquill,Circle Takes The Spuare,Crowquill,Circle Takes the Square,"screamo, grind, post hardcore","'sasscore', 'screamo'",Circle Takes The Spuare - Crowquill,2023-01-19,38.7,284.0,,youtube,,,,https://www.youtube.com/watch?v=R_7ocb0eDuE,R_7ocb0eDuE,7wXXqv7bYGvQt4KUmN1En8,90.5,-1057.1,Db/C#,-10.571,1.0,36.3,35.6,0.02,0.0,35.4,139,audio_features,spotify:track:7wXXqv7bYGvQt4KUmN1En8,https://api.spotify.com/v1/tracks/7wXXqv7bYGvQt4KUmN1En8,https://api.spotify.com/v1/audio-analysis/7wXXqv7bYGvQt4KUmN1En8,02:44,4.0,https://i.scdn.co/image/ab67616d0000b273e5600455ea22b8973e1d10ac,2004-01-06,2004.0,False,19.0,https://p.scdn.co/mp3-preview/2174e75cb1c069c3f24eae8f977fea72a163d5a4?cid=484c8fc1e0c54669ac770f80991a8280,19,8853
Coco and the Lost -- Everything Is Fine [indie pop] (2022),Everything Is Fine,Coco and the Lost,Everything Is Fine!,Coco And The Lost,Everything Is Fine!,Coco and the Lost,indie pop,'britpop revival',Coco And The Lost - Everything Is Fine!,2023-01-18,72.5,268.0,,youtube,,,,https://www.youtube.com/watch?v=ueCBUvxBz10,ueCBUvxBz10,5IrbFKiev4tQHDG182GcBt,75.0,-478.6,Bb,-4.786,1.0,71.7,4.54,19.5,0.73,13.1,144,audio_features,spotify:track:5IrbFKiev4tQHDG182GcBt,https://api.spotify.com/v1/tracks/5IrbFKiev4tQHDG182GcBt,https://api.spotify.com/v1/audio-analysis/5IrbFKiev4tQHDG182GcBt,03:03,4.0,https://i.scdn.co/image/ab67616d0000b2735952ef507650060f6896c89a,2023-01-06,2023.0,False,8.0,https://p.scdn.co/mp3-preview/ed562e236d7a969b577ffc907ae4ccc23e25a46a?cid=484c8fc1e0c54669ac770f80991a8280,8,802
Hoity-Toity -- Over It [Pop rock/Indie Alternative] (2023),Over It,Hoity-Toity,,,Over It,Hoity-Toity,"pop rock, indie alternative",'socal indie',Over It,2023-01-14,67.0,263.0,,youtube,,,,https://www.youtube.com/watch?v=LLN0lOSThqk,LLN0lOSThqk,2xhk3Pm15whwFBlVYrsOoU,70.6,-813.2,Db/C#,-8.132,0.0,54.7,3.13,0.01,0.0,29.3,133,audio_features,spotify:track:2xhk3Pm15whwFBlVYrsOoU,https://api.spotify.com/v1/tracks/2xhk3Pm15whwFBlVYrsOoU,https://api.spotify.com/v1/audio-analysis/2xhk3Pm15whwFBlVYrsOoU,03:15,4.0,https://i.scdn.co/image/ab67616d0000b273d7fd1519de5b5009bffe3406,2023-01-13,2023.0,False,21.0,https://p.scdn.co/mp3-preview/95162c0b12201be6049ffb55dabe1602d6d18aad?cid=484c8fc1e0c54669ac770f80991a8280,20,6549
Orange 9mm -- Take You Away [Post Hardcore/Alternative Metal] (1996),Take You Away,Orange 9mm,,,Take You Away,Orange 9mm,"post hardcore, alternative metal",'rap rock',Take You Away,2023-01-14,34.7,242.0,,youtube,,,,https://www.youtube.com/watch?v=QBuaHogLxpo,QBuaHogLxpo,2TxJEGusHQEuAaoLmbWLHx,97.8,-451.5,G,-4.515,1.0,46.6,13.5,0.0,4.35,4.3,109,audio_features,spotify:track:2TxJEGusHQEuAaoLmbWLHx,https://api.spotify.com/v1/tracks/2TxJEGusHQEuAaoLmbWLHx,https://api.spotify.com/v1/audio-analysis/2TxJEGusHQEuAaoLmbWLHx,02:52,4.0,https://i.scdn.co/image/ab67616d0000b273462a669203dcb8d4af9c7e0c,1996-07-26,1996.0,False,13.0,https://p.scdn.co/mp3-preview/d58bcb67e07f6b98e2b4bfde136253a014043328?cid=484c8fc1e0c54669ac770f80991a8280,21,10838
Mora Michelle - No Friends [Indie Pop] (2022),No Friends,Mora Michelle,No friends,Mora Michelle,no friends,Mora Michelle,indie pop,,Mora Michelle - No friends (official video),2023-01-16,84.2,229.0,,youtube,,,,https://www.youtube.com/watch?v=tP7niAVYG8A,tP7niAVYG8A,30rkOG7Aev4IMaRZntvnSm,42.1,-576.3,Gb/F#,-5.763,0.0,67.4,3.15,2.5,16.3,5.81,96,audio_features,spotify:track:30rkOG7Aev4IMaRZntvnSm,https://api.spotify.com/v1/tracks/30rkOG7Aev4IMaRZntvnSm,https://api.spotify.com/v1/audio-analysis/30rkOG7Aev4IMaRZntvnSm,03:20,4.0,https://i.scdn.co/image/ab67616d0000b27363abf01aabc305252875806f,2022-11-18,2022.0,False,25.0,https://p.scdn.co/mp3-preview/8c885343842ec716bf61512bcb2704b187370fcd?cid=484c8fc1e0c54669ac770f80991a8280,11,288
