r_title,r_media_title,r_post_date,r_upvote_ratio,r_score,r_media_data,r_post_artist,r_post_song,r_media_artist,r_media_song,r_genres,link_source,sp_link,yt_link,yt_video_id,sc_link,sc_embed_link,bc_embed_link,video_title,channel_title,publish_date,vid_duration,view_count,thumbnail_standard,like_count,comment_count,video_tags,view_count_readable,like_count_readable,comment_count_readable,vid_duration_readable,publish_date_readable,r_score_readable
Del tha Funky Homosapien - Mistadobalina [Hip Hop],Del tha Funky Homosapien - Mistadobalina (original),2022-09-18,0.97,979.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Del tha Funky Homosapien - Mistadobalina (original)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/9Bku7gXlkoo?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Del tha Funky Homosapien - Mistadobalina (original)""></iframe>', 'author_name': 'VideosChannel', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/9Bku7gXlkoo/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/VideosChannelDE'}}",Del tha Funky Homosapien,Mistadobalina,Del tha Funky Homosapien,Mistadobalina,hip hop,youtube,,https://www.youtube.com/watch?v=9Bku7gXlkoo,9Bku7gXlkoo,,,,Del tha Funky Homosapien - Mistadobalina (original),VideosChannel,2013-07-17T09:53:55Z,PT4M27S,1725895,https://i.ytimg.com/vi/9Bku7gXlkoo/hqdefault.jpg,21722,902,"['Mistadobalina', 'Del tha Funky Homosapien', '1991', 'Original', 'Hip Hop', 'R&B', 'Soul', 'Funk', 'LBC', 'New York', 'Los Angeles', 'West Coast', 'Gangsta', 'Lowrider', 'Games', 'Trailer', 'Old School', 'Rap', 'East', 'Real', ""90's"", 'G-Funk', 'America', 'Romania', 'Germany', 'Westside', 'Customs', 'Music', 'Video', 'HD', 'HQ', '2 pac']",1.73M,21.7K,902,04:27,2013-07-17,979
New Constellations -- Hot Blooded [Nu wave vapor] (2022),New Constellations - Hot Blooded (Official Music Video),2022-09-16,0.93,544.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'New Constellations - Hot Blooded (Official Music Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/9uIAB_GNmGw?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""New Constellations - Hot Blooded (Official Music Video)""></iframe>', 'author_name': 'New Constellations', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/9uIAB_GNmGw/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/c/NewConstellations'}}",New Constellations,Hot Blooded,New Constellations,Hot Blooded,nu wave vapor,youtube,,https://www.youtube.com/watch?v=9uIAB_GNmGw,9uIAB_GNmGw,,,,New Constellations - Hot Blooded (Official Music Video),New Constellations,2022-09-16T03:30:11Z,PT4M29S,35389,https://i.ytimg.com/vi/9uIAB_GNmGw/hqdefault.jpg,755,86,,35.4K,755,86,04:29,2022-09-16,544
Mansions - Dig Up The Dead [Alt Rock] (2011),Dig Up the Dead,2022-09-15,0.94,424.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Dig Up the Dead', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/JfOeVTSZSJM?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Dig Up the Dead""></iframe>', 'author_name': 'Mansions - Topic', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/JfOeVTSZSJM/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCISkyv_ZLlgYthz5VjjHyhQ'}}",Mansions,Dig Up The Dead,,,alt rock,youtube,,https://www.youtube.com/watch?v=JfOeVTSZSJM,JfOeVTSZSJM,,,,Dig Up the Dead,Mansions - Topic,2020-07-15T16:28:24Z,PT3M59S,10811,https://i.ytimg.com/vi/JfOeVTSZSJM/hqdefault.jpg,221,0,"['Mansions', 'Dig Up the Dead']",10.8K,221,0,03:59,2020-07-15,424
Sneaker Pimps - 6 Underground [Trip Hop] (1996),Sneaker Pimps - 6 Underground,2022-09-18,0.96,399.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Sneaker Pimps - 6 Underground', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/OL4gpjoSeI4?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Sneaker Pimps - 6 Underground""></iframe>', 'author_name': 'Ixnay on the Hombre', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/OL4gpjoSeI4/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCZyoOijdUvzzd6xyRwac9CA'}}",Sneaker Pimps,6 Underground,Sneaker Pimps,6 Underground,trip hop,youtube,,https://www.youtube.com/watch?v=OL4gpjoSeI4,OL4gpjoSeI4,,,,Sneaker Pimps - 6 Underground,Ixnay on the Hombre,2020-05-17T05:00:10Z,PT4M11S,31923,https://i.ytimg.com/vi/OL4gpjoSeI4/hqdefault.jpg,593,45,"['Sneaker Pimps', '6 Underground', 'Becoming X', '1997', '2020', 'Hartlepool', 'England', 'Kelli Dayton', 'Chris Corner', 'Liam Howe', 'Joe Wilson', 'Dave Westlake', 'Tesko Suicide', 'Roll On', 'Spin Spin Sugar', 'Post-Modern Sleaze', 'Billboard', '200', 'Electronica', 'Trip Hop', 'Dance', 'Rock', 'Downtempo', 'Clean Up', 'Virgin', 'Tommy Boy', 'Records', 'Chris Farley', 'David Spade', 'Beverly Hills', '90210', ""Can't Hardly Wait"", 'Laura Prepon', ""That 70's Show"", 'Red', 'Forman', 'Eric', 'Kelso', 'Fez', 'Titans', 'GTA V', 'Grand Theft Auto', 'Lego', 'Space', 'Kitty', 'Hyde', 'Jackie']",31.9K,593,45,04:11,2020-05-17,399
Weird Al - Bedrock Anthem - [rock],"""Weird Al"" Yankovic - Bedrock Anthem",2022-09-18,0.92,360.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': '""Weird Al"" Yankovic - Bedrock Anthem', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/BtV_nQKhkdY?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""""Weird Al"" Yankovic - Bedrock Anthem""></iframe>', 'author_name': 'alyankovicVEVO', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/BtV_nQKhkdY/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/alyankovicVEVO'}}",Weird Al,Bedrock Anthem,"Weird Al"" Yankovic",Bedrock Anthem,rock,youtube,,https://www.youtube.com/watch?v=BtV_nQKhkdY,BtV_nQKhkdY,,,,"""Weird Al"" Yankovic - Bedrock Anthem",alyankovicVEVO,2009-10-03T07:45:12Z,PT3M52S,5726592,https://i.ytimg.com/vi/BtV_nQKhkdY/hqdefault.jpg,37460,2646,"['Weird Al Yankovic', 'Bedrock Anthem', 'Pop', 'Volcano']",5.73M,37.5K,2.65K,03:52,2009-10-03,360
Common Rider - Castaways [Punk Rock] (1999),Castaways,2022-09-16,0.96,301.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Castaways', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/wA5jrYuubUo?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Castaways""></iframe>', 'author_name': 'Common Rider - Topic', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/wA5jrYuubUo/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCQEV-T31kjv2MXtG8OYKasg'}}",Common Rider,Castaways,,,punk rock,youtube,,https://www.youtube.com/watch?v=wA5jrYuubUo,wA5jrYuubUo,,,,Castaways,Common Rider - Topic,2015-08-23T18:53:18Z,PT2M15S,24983,https://i.ytimg.com/vi/wA5jrYuubUo/hqdefault.jpg,295,2,"['Common', 'Rider', 'Last', 'Wave', 'Rockers', 'Castaways']",25K,295,2,02:15,2015-08-23,301
wednesday - bull believer [post-punk/shoe-gaze/grunge] (2022),Wednesday - Bull Believer (Official Video),2022-09-16,0.92,293.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Wednesday - Bull Believer (Official Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/0MawIv5pDFE?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Wednesday - Bull Believer (Official Video)""></iframe>', 'author_name': 'WednesdayVEVO', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/0MawIv5pDFE/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCkRryHXTD-9R76z8xNM6e0A'}}",wednesday,bull believer,Wednesday,Bull Believer,"post-punk, shoe-gaze, grunge",youtube,,https://www.youtube.com/watch?v=0MawIv5pDFE,0MawIv5pDFE,,,,Wednesday - Bull Believer (Official Video),WednesdayVEVO,2022-09-08T14:00:10Z,PT8M46S,22832,https://i.ytimg.com/vi/0MawIv5pDFE/hqdefault.jpg,944,107,"['Wednesday', 'Bull', 'Believer', '(Official', 'Video)', 'Dead', 'Oceans', 'Alternative']",22.8K,944,107,08:46,2022-09-08,293
"柏木玲子 Reiko Kashiwagi - Rain In The City [Jazz, Fusion, Synth-Pop] (1984)","柏木玲子 Reiko Kashiwagi - Rain In The City [Japan] Jazz, Fusion, Synth-Pop (1984)",2022-09-19,0.95,282.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': '柏木玲子 Reiko Kashiwagi - Rain In The City [Japan] Jazz, Fusion, Synth-Pop (1984)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/elFR0iCQxZE?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""柏木玲子 Reiko Kashiwagi - Rain In The City [Japan] Jazz, Fusion, Synth-Pop (1984)""></iframe>', 'author_name': 'Music for empty rooms', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/elFR0iCQxZE/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/c/Musicforemptyrooms'}}",柏木玲子 Reiko Kashiwagi,Rain In The City,柏木玲子 Reiko Kashiwagi,Rain In The City,"jazz, fusion, synth-pop",youtube,,https://www.youtube.com/watch?v=elFR0iCQxZE,elFR0iCQxZE,,,,"柏木玲子 Reiko Kashiwagi - Rain In The City [Japan] Jazz, Fusion, Synth-Pop (1984)",Music for empty rooms,2022-09-19T17:00:19Z,PT3M36S,2374,https://i.ytimg.com/vi/elFR0iCQxZE/hqdefault.jpg,239,16,"['obscure music', 'vintage', 'obscure records', 'the homecoming', 'vintage obscure music', 'rare records', 'obscure jazz', 'jazz', 'library music', 'rare library', 'lp', 'obscure funk', 'funk', 'loner folk', 'obscure experimental', 'obscure psych', 'ambient', 'samples', 'sample', 'jazz sample', 'andre navarro II', 'andre navarro', 'soul sample', '70s', 'soul', 'free sample', 'beat sample', 'beat samples', 'psych', 'prog', 'trap sample', 'free beat', 'Xerf Xpec', 'XerfXpec', 'digging', 'crate', 'xerf xpec', 'xerfxpec', 'musicforemptyrooms', 'music for empty rooms']",2.37K,239,16,03:36,2022-09-19,282
"Lonnie Johnson - ""Mr. Johnson's Blues No. 2"" [Prewar Urban Blues] (1929)",Mr Johnson's Blues No. 2,2022-09-19,0.94,265.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': ""Mr Johnson's Blues No. 2"", 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/Ork5lOoyxnI?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Mr Johnson\'s Blues No. 2""></iframe>', 'author_name': 'Lonnie Johnson - Topic', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/Ork5lOoyxnI/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UC11_nfqWfu0m0tsob-o4t9A'}}",Lonnie Johnson,Mr. Johnsons Blues No. 2,,,prewar urban blues,youtube,,https://www.youtube.com/watch?v=Ork5lOoyxnI,Ork5lOoyxnI,,,,Mr Johnson's Blues No. 2,Lonnie Johnson - Topic,2014-11-06T17:19:24Z,PT2M58S,807,https://i.ytimg.com/vi/Ork5lOoyxnI/hqdefault.jpg,15,0,"['Lonnie', 'Johnson', 'Vol.', '(1929', '1930)', 'Mr', ""Johnson's"", 'Blues', 'No.']",807,15,0,02:58,2014-11-06,265
GENTS - Young Again [Synth Pop/Electronic] (2015),GENTS - Young Again,2022-09-17,0.89,207.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'GENTS - Young Again', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/xicnZ_IIkWo?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""GENTS - Young Again""></iframe>', 'author_name': 'GENTS', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/xicnZ_IIkWo/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCpXpy3dxPszXw4sAdDwzs4A'}}",GENTS,Young Again,GENTS,Young Again,"synth pop, electronic",youtube,,https://www.youtube.com/watch?v=xicnZ_IIkWo,xicnZ_IIkWo,,,,GENTS - Young Again,GENTS,2015-02-02T21:20:20Z,PT5M24S,197911,https://i.ytimg.com/vi/xicnZ_IIkWo/hqdefault.jpg,2105,55,"['gents', 'young', 'again', 'what', 'is', 'love', 'tears', 'Laser']",198K,2.1K,55,05:24,2015-02-02,207
