r_title,r_media_title,r_post_date,r_upvote_ratio,r_score,r_media_data,r_post_artist,r_post_song,r_media_artist,r_media_song,r_genres,link_source,sp_link,yt_link,yt_video_id,sc_link,sc_embed_link,bc_embed_link,video_title,channel_title,publish_date,vid_duration,view_count,thumbnail_standard,like_count,comment_count,video_tags,view_count_readable,like_count_readable,comment_count_readable,vid_duration_readable,publish_date_readable,r_score_readable
Denzel Curry - Bulls On Parade (cover) [rock],Denzel Curry covers Rage Against The Machine 'Bulls On Parade' for Like A Version,2023-01-08,0.91,4679.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': ""Denzel Curry covers Rage Against The Machine 'Bulls On Parade' for Like A Version"", 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/ZY4ywyFXdik?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Denzel Curry covers Rage Against The Machine &#39;Bulls On Parade&#39; for Like A Version""></iframe>', 'author_name': 'triple j', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/ZY4ywyFXdik/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@triplej'}}",Denzel Curry,Bulls On Parade,Denzel Curry covers Rage Against The Machine,Bulls On Parade,rock,youtube,,https://www.youtube.com/watch?v=ZY4ywyFXdik,ZY4ywyFXdik,,,,Denzel Curry covers Rage Against The Machine 'Bulls On Parade' for Like A Version,triple j,2019-02-14T23:28:42Z,PT4M47S,12246318,https://i.ytimg.com/vi/ZY4ywyFXdik/hqdefault.jpg,451942,25692,"['denzel curry', 'rage against the machine', 'bulls on parade', 'like a version', 'triple j', 'denzel curry cover', 'best covers', 'rage against the machine cover', 'denzel curry live', 'rage against the machine live', 'like a verison live', 'like a version cover', 'denzel curry sumo', 'denzel', 'curry', 'denzel curry bio']",12.2M,452K,25.7K,04:47,2019-02-14,4.68K
Misfits - Last Caress [Horror Punk/Pop Punk],Last Caress,2023-01-09,0.95,2024.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Last Caress', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/UuzA4U1njO8?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Last Caress""></iframe>', 'author_name': 'The Misfits - Topic', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/UuzA4U1njO8/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCUAa1fv7JsIFuBUWtH0ZaOA'}}",Misfits,Last Caress,,,"horror punk, pop punk",youtube,,https://www.youtube.com/watch?v=UuzA4U1njO8,UuzA4U1njO8,,,,Last Caress,The Misfits - Topic,2017-02-11T18:29:52Z,PT2M,5987488,https://i.ytimg.com/vi/UuzA4U1njO8/hqdefault.jpg,66325,631,"['Misfits', 'ミスフィッツ', 'Collection 2', 'Last Caress']",5.99M,66.3K,631,02:,2017-02-11,2.02K
"Andrew W.K. - Party Hard [Hard Rock, Power Rock]",Andrew W.K. - Party Hard,2023-01-08,0.91,1121.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Andrew W.K. - Party Hard', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/WccfbPQNMbg?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Andrew W.K. - Party Hard""></iframe>', 'author_name': 'AndrewWKVEVO', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/WccfbPQNMbg/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@AndrewWKVEVO'}}",Andrew W.K.,Party Hard,Andrew W.K.,Party Hard,"hard rock, power rock",youtube,,https://www.youtube.com/watch?v=WccfbPQNMbg,WccfbPQNMbg,,,,Andrew W.K. - Party Hard,AndrewWKVEVO,2009-06-16T23:09:48Z,PT3M26S,19923784,https://i.ytimg.com/vi/WccfbPQNMbg/hqdefault.jpg,110488,12209,"['Andrew', 'W.K.', 'Island', 'Records', 'Rock']",19.9M,110K,12.2K,03:26,2009-06-16,1.12K
French Class - Robot Tune [chip tune] (2019),French Class - Robot Tune (Official Music Video),2023-01-08,0.94,744.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'French Class - Robot Tune (Official Music Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/a1rjVVcZvTY?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""French Class - Robot Tune (Official Music Video)""></iframe>', 'author_name': 'French Class', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/a1rjVVcZvTY/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@frenchclass5641'}}",French Class,Robot Tune,French Class,Robot Tune,chip tune,youtube,,https://www.youtube.com/watch?v=a1rjVVcZvTY,a1rjVVcZvTY,,,,French Class - Robot Tune (Official Music Video),French Class,2021-11-21T19:45:01Z,PT2M12S,123304,https://i.ytimg.com/vi/a1rjVVcZvTY/hqdefault.jpg,4257,177,,123K,4.26K,177,02:12,2021-11-21,744
"The Cardigans w/ Tom Jones - Burning Down The House [Pop, Rock]","Tom Jones, The Cardigans - Burning Down The House (Official Video)",2023-01-10,0.94,396.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Tom Jones, The Cardigans - Burning Down The House (Official Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/iYuldgIOelY?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Tom Jones, The Cardigans - Burning Down The House (Official Video)""></iframe>', 'author_name': 'TomJonesVEVO', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/iYuldgIOelY/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@TomJonesVEVO'}}",The Cardigans w/ Tom Jones,Burning Down The House,"Tom Jones, The Cardigans",Burning Down The House,"pop, rock",youtube,,https://www.youtube.com/watch?v=iYuldgIOelY,iYuldgIOelY,,,,"Tom Jones, The Cardigans - Burning Down The House (Official Video)",TomJonesVEVO,2017-01-09T11:00:30Z,PT3M46S,6616108,https://i.ytimg.com/vi/iYuldgIOelY/hqdefault.jpg,61404,2404,"['Tom', 'Jones', 'The', 'Cardigans', 'Burning', 'Down', 'House', 'UMC', 'Pop', 'tom jones burning down the house']",6.62M,61.4K,2.4K,03:46,2017-01-09,396
"[Armenia] Katil Band - «Հաց կթխեմ» // ""Hats Ktkhem"" (I Bake Bread) [Acoustic Folk] (2022)",KATIL - I Bake Bread / Հաց Կթխեմ,2023-01-05,0.9,354.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'KATIL - I Bake Bread / Հաց Կթխեմ', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/IOBgR8nz6-w?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""KATIL - I Bake Bread / Հաց Կթխեմ""></iframe>', 'author_name': 'Katil', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/IOBgR8nz6-w/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@KatilOfficial'}}",Katil Band,Hats Ktkhem,KATIL,I Bake Bread / Հաց Կթխեմ,"armenia, acoustic folk",youtube,,https://www.youtube.com/watch?v=IOBgR8nz6-w,IOBgR8nz6-w,,,,KATIL - I Bake Bread / Հաց Կթխեմ,Katil,2022-12-26T15:00:09Z,PT5M52S,14245,https://i.ytimg.com/vi/IOBgR8nz6-w/hqdefault.jpg,704,64,,14.2K,704,64,05:52,2022-12-26,354
Eels - Novocaine For The Soul [Alt Rock],Eels - Novocaine For The Soul (Official Video),2023-01-11,0.97,263.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Eels - Novocaine For The Soul (Official Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/V2yy141q8HQ?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Eels - Novocaine For The Soul (Official Video)""></iframe>', 'author_name': 'EelsVEVO', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/V2yy141q8HQ/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@EelsVEVO'}}",Eels,Novocaine For The Soul,Eels,Novocaine For The Soul,alt rock,youtube,,https://www.youtube.com/watch?v=V2yy141q8HQ,V2yy141q8HQ,,,,Eels - Novocaine For The Soul (Official Video),EelsVEVO,2009-11-18T16:47:53Z,PT3M44S,9170814,https://i.ytimg.com/vi/V2yy141q8HQ/hqdefault.jpg,59429,2450,"['Eels', 'DreamWorks', 'Geffen', 'Rock', 'Eels vevo', 'Novocaine For The Soul vevo', 'Novocaine For The Soul', 'official video', 'vevo official']",9.17M,59.4K,2.45K,03:44,2009-11-18,263
Trash Puppets -- Rainy Cloudy [skate-punk] (2023),Trash Puppets - Rainy Cloudy,2023-01-07,0.92,252.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Trash Puppets - Rainy Cloudy', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/POSgdQ-TGno?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Trash Puppets - Rainy Cloudy""></iframe>', 'author_name': 'Trash Puppets', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/POSgdQ-TGno/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@trashpuppets8683'}}",Trash Puppets,Rainy Cloudy,Trash Puppets,Rainy Cloudy,skate-punk,youtube,,https://www.youtube.com/watch?v=POSgdQ-TGno,POSgdQ-TGno,,,,Trash Puppets - Rainy Cloudy,Trash Puppets,2023-01-06T05:00:15Z,PT3M53S,1876,https://i.ytimg.com/vi/POSgdQ-TGno/hqdefault.jpg,75,7,,1.88K,75,7,03:53,2023-01-06,252
Enumclaw -- Jimmy Neutron [Indie rock] (2023),Enumclaw - Jimmy Neutron (Live on KEXP),2023-01-10,0.75,237.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Enumclaw - Jimmy Neutron (Live on KEXP)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/UCPG_eDfZh8?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Enumclaw - Jimmy Neutron (Live on KEXP)""></iframe>', 'author_name': 'KEXP', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/UCPG_eDfZh8/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@kexp'}}",Enumclaw,Jimmy Neutron,Enumclaw,Jimmy Neutron,indie rock,youtube,,https://www.youtube.com/watch?v=UCPG_eDfZh8,UCPG_eDfZh8,,,,Enumclaw - Jimmy Neutron (Live on KEXP),KEXP,2023-01-10T12:00:28Z,PT3M18S,5843,https://i.ytimg.com/vi/UCPG_eDfZh8/hqdefault.jpg,97,9,"['find new music', 'music discovery', 'latest bands', 'live performance', 'studio session', 'studio performance', 'live version', 'live recording', 'in studio', 'instudio', 'KEXP', 'kexp fm', 'live music', 'livemusic', 'concert streaming', 'online concert', 'virtual concert', 'Enumclaw', 'Enumclaw live', 'local', 'Northwest', 'Tacoma', 'Washington', 'Jimmy Neutron']",5.84K,97,9,03:18,2023-01-10,237
Enumclaw -- Jimmy Neutron [Indie rock] (2023),Enumclaw - Jimmy Neutron (Live on KEXP),2023-01-10,0.75,237.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Enumclaw - Jimmy Neutron (Live on KEXP)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/UCPG_eDfZh8?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Enumclaw - Jimmy Neutron (Live on KEXP)""></iframe>', 'author_name': 'KEXP', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/UCPG_eDfZh8/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@kexp'}}",Enumclaw,Jimmy Neutron,Enumclaw,Jimmy Neutron,indie rock,youtube,,https://www.youtube.com/watch?v=UCPG_eDfZh8,UCPG_eDfZh8,,,,Enumclaw - Jimmy Neutron (Live on KEXP),KEXP,2023-01-10T12:00:28Z,PT3M18S,5843,https://i.ytimg.com/vi/UCPG_eDfZh8/hqdefault.jpg,97,9,"['find new music', 'music discovery', 'latest bands', 'live performance', 'studio session', 'studio performance', 'live version', 'live recording', 'in studio', 'instudio', 'KEXP', 'kexp fm', 'live music', 'livemusic', 'concert streaming', 'online concert', 'virtual concert', 'Enumclaw', 'Enumclaw live', 'local', 'Northwest', 'Tacoma', 'Washington', 'Jimmy Neutron']",5.84K,97,9,03:18,2023-01-10,237
