r_title,r_media_title,r_post_date,r_upvote_ratio,r_score,r_post_artist,r_post_song,r_media_artist,r_media_song,r_genres,link_source,sp_link_x,yt_link,yt_video_id,sc_link,sc_embed_link,bc_embed_link,track_id,sp_song,sp_artist,id,sp_link_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,sp_artwork_640px,sp_release_date,sp_release_year,sp_explicit,sp_popularity,sp_audio_preview,sp_genres,sp_artist_popularity,sp_follower_count
Silverspun Pickups - Lazy Eye [Alt Rock] (2006),Silversun Pickups - Lazy Eye (Official Video),2023-02-07,0.94,5103.0,Silverspun Pickups,Lazy Eye,Silversun Pickups,Lazy Eye,alt rock,youtube,,https://www.youtube.com/watch?v=z-mxBDuRaZ8,z-mxBDuRaZ8,,,,,Lazy Eye,Silversun Pickups,1aDLUzCyYpRXgrjwUWzV2X,,0.633,0.831,4.0,-5.053,1.0,0.0461,0.0401,0.693,0.117,0.243,127.397,audio_features,spotify:track:1aDLUzCyYpRXgrjwUWzV2X,https://api.spotify.com/v1/tracks/1aDLUzCyYpRXgrjwUWzV2X,https://api.spotify.com/v1/audio-analysis/1aDLUzCyYpRXgrjwUWzV2X,354360.0,4.0,https://i.scdn.co/image/ab67616d0000b2739caa0b7bb4d3966f6fb2a266,2006-07-25,2006.0,False,62.0,https://p.scdn.co/mp3-preview/f0db82852cf6eff29fa200047e7a47c82d901cc7?cid=484c8fc1e0c54669ac770f80991a8280,"'alternative rock', 'indie rock', 'la indie', 'modern rock', 'rock'",58,596523
The Blues Brothers | Aretha Franklin - Think [Soul],"The Blues Brothers | Aretha Franklin Sings ""Think"" in 4K HDR",2023-02-07,0.96,534.0,The Blues Brothers | Aretha Franklin,Think,The Blues Brothers,Think,soul,youtube,,https://www.youtube.com/watch?v=RTXszRHc0qs,RTXszRHc0qs,,,,,Think,The Blues Brothers,6kie23fo40j9gBNWGWg5Dc,,0.653,0.836,5.0,-5.594,1.0,0.188,0.495,0.000232,0.24,0.713,128.628,audio_features,spotify:track:6kie23fo40j9gBNWGWg5Dc,https://api.spotify.com/v1/tracks/6kie23fo40j9gBNWGWg5Dc,https://api.spotify.com/v1/audio-analysis/6kie23fo40j9gBNWGWg5Dc,195307.0,4.0,https://i.scdn.co/image/ab67616d0000b2739a88a61e9fb51cce727b0f52,1980-01-01,1980.0,False,54.0,https://p.scdn.co/mp3-preview/b5d70ea5096c20e85ff402d8636b0aabe3116455?cid=484c8fc1e0c54669ac770f80991a8280,"'blues', 'blues rock'",58,365704
Say She She - Fortune Teller [Soul] (2022),Say She She - Fortune Teller [OFFICIAL VIDEO],2023-02-04,0.94,406.0,Say She She,Fortune Teller,Say She She,Fortune Teller,soul,youtube,,https://www.youtube.com/watch?v=d5UH4CKRt1I,d5UH4CKRt1I,,,,,Fortune Teller,Say She She,2G01T828C7rQXDjn0v24Ku,,0.681,0.498,11.0,-8.491,0.0,0.0318,0.251,0.00066,0.0842,0.875,89.688,audio_features,spotify:track:2G01T828C7rQXDjn0v24Ku,https://api.spotify.com/v1/tracks/2G01T828C7rQXDjn0v24Ku,https://api.spotify.com/v1/audio-analysis/2G01T828C7rQXDjn0v24Ku,199578.0,4.0,https://i.scdn.co/image/ab67616d0000b273c643bcbaec728b040dfccbfa,2022-10-07,2022.0,False,41.0,https://p.scdn.co/mp3-preview/098a09057887f1fb3897ff2c8d4f6b9fba3c265f?cid=484c8fc1e0c54669ac770f80991a8280,,44,14379
"アンナ・バナナ Anna Banana - Follow Me I [Soul, Jazz, Citypop] (1991)",アンナ・バナナ Anna Banana - Follow Me I (1991),2023-02-03,0.94,379.0,アンナ・バナナ Anna Banana,Follow Me I,アンナ・バナナ Anna Banana,Follow Me I,"soul, jazz, citypop",youtube,,https://www.youtube.com/watch?v=tArx3qxidCA,tArx3qxidCA,,,,,I'm a Banana,Onision,315YiOWf8Yy7gOEOLpyWQs,,0.625,0.705,2.0,-3.444,1.0,0.122,0.0748,7.77e-06,0.493,0.48,129.875,audio_features,spotify:track:315YiOWf8Yy7gOEOLpyWQs,https://api.spotify.com/v1/tracks/315YiOWf8Yy7gOEOLpyWQs,https://api.spotify.com/v1/audio-analysis/315YiOWf8Yy7gOEOLpyWQs,90227.0,4.0,https://i.scdn.co/image/ab67616d0000b273287e1ea1aed899427489e0be,2010-10-01,2010.0,False,46.0,https://p.scdn.co/mp3-preview/d69564ed6ba773c43aa508cf62cfb0b9938b79bd?cid=484c8fc1e0c54669ac770f80991a8280,,39,29204
Chicago - 25 or 6 to 4 - 7/21/1970 [Rock],Chicago - 25 or 6 to 4 - 7/21/1970 - Tanglewood (Official),2023-02-06,0.93,295.0,Chicago,25 or 6 to 4 - 7/21/1970,Chicago,25 or 6 to 4 - 7/21/1970 - Tanglewood,rock,youtube,,https://www.youtube.com/watch?v=7uAUoz7jimg,7uAUoz7jimg,,,,,25 or 6 to 4 - 2002 Remaster,Chicago,7GqIDx2QVGOpd4r1fZaUUW,,0.604,0.905,4.0,-7.059,0.0,0.0578,0.309,0.0632,0.0837,0.723,147.448,audio_features,spotify:track:7GqIDx2QVGOpd4r1fZaUUW,https://api.spotify.com/v1/tracks/7GqIDx2QVGOpd4r1fZaUUW,https://api.spotify.com/v1/audio-analysis/7GqIDx2QVGOpd4r1fZaUUW,289800.0,4.0,https://i.scdn.co/image/ab67616d0000b273f97c928726d4abbaed5aebf9,1970-01-26,1970.0,False,61.0,https://p.scdn.co/mp3-preview/0d80057bda032f034de949ca6435c7592b1864f2?cid=484c8fc1e0c54669ac770f80991a8280,"'adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'soft rock', 'yacht rock'",70,3450128
Melechesh -- Rebirth of the Nemesis [Assyrian black metal] (2006),Rebirth of the Nemesis (Enuma Elish Rewritten),2023-02-03,0.92,291.0,Melechesh,Rebirth of the Nemesis,,,assyrian black metal,youtube,,https://www.youtube.com/watch?v=xQNvqbN8GVA,xQNvqbN8GVA,,,,,Rebirth Of The Nemesis (Enuma Elish Rewritten),Melechesh,61Inctb2pQIonRJY1RNxco,,0.346,0.983,1.0,-2.93,1.0,0.113,2.39e-06,0.968,0.378,0.0425,130.04,audio_features,spotify:track:61Inctb2pQIonRJY1RNxco,https://api.spotify.com/v1/tracks/61Inctb2pQIonRJY1RNxco,https://api.spotify.com/v1/audio-analysis/61Inctb2pQIonRJY1RNxco,397547.0,4.0,https://i.scdn.co/image/ab67616d0000b273f0a5fa44cce91d2c4a97238a,2006-01-01,2006.0,False,25.0,https://p.scdn.co/mp3-preview/cacd021bed77b6091ca53e69d369d7d0146fc8d2?cid=484c8fc1e0c54669ac770f80991a8280,"'black metal', 'death metal', 'israeli metal', 'oriental metal', 'pagan black metal', 'symphonic black metal', 'viking metal'",34,39170
Bud Grant - Trouble in Mind [Blues] (1969),Bud Grant - Trouble In Mind,2023-02-05,0.94,287.0,Bud Grant,Trouble in Mind,Bud Grant,Trouble In Mind,blues,youtube,,https://www.youtube.com/watch?v=3bIbQXKpAbs,3bIbQXKpAbs,,,,,Trouble in Mind,Bud Grant,561pqz0fiS4ab7vThh6J1j,,0.668,0.153,8.0,-16.151,1.0,0.0422,0.906,0.0259,0.13,0.623,101.368,audio_features,spotify:track:561pqz0fiS4ab7vThh6J1j,https://api.spotify.com/v1/tracks/561pqz0fiS4ab7vThh6J1j,https://api.spotify.com/v1/audio-analysis/561pqz0fiS4ab7vThh6J1j,177440.0,4.0,https://i.scdn.co/image/ab67616d0000b273020d44ca31f176c50e81822a,2007-01-02,2007.0,False,1.0,https://p.scdn.co/mp3-preview/631e0b2375f0fc1249d5ca09520f02eb61361e86?cid=484c8fc1e0c54669ac770f80991a8280,,0,77
Warumpi Band - Fitzroy Cossing [Aboriginal Country Rock] (1985),Fitzroy Crossing,2023-02-05,0.93,269.0,Warumpi Band,Fitzroy Cossing,,,aboriginal country rock,youtube,,https://www.youtube.com/watch?v=qKjKx78dTug,qKjKx78dTug,,,,,Fitzroy Crossing,Warumpi Band,5wwNGxl3VUDxUF9Q8ritUo,,0.389,0.626,0.0,-11.742,1.0,0.0311,0.408,0.00288,0.135,0.721,165.45,audio_features,spotify:track:5wwNGxl3VUDxUF9Q8ritUo,https://api.spotify.com/v1/tracks/5wwNGxl3VUDxUF9Q8ritUo,https://api.spotify.com/v1/audio-analysis/5wwNGxl3VUDxUF9Q8ritUo,224212.0,4.0,https://i.scdn.co/image/ab67616d0000b2737cd00153ef3a49f3dfc30df6,2006-03-07,2006.0,False,3.0,https://p.scdn.co/mp3-preview/130d8ed29d28e7ce7ddfb5b3a9d9fff6b8cb1ccf?cid=484c8fc1e0c54669ac770f80991a8280,"'australian alternative rock', 'australian indigenous', 'australian rock'",37,15409
Sufjan Stevens - Casimir Pulaski Day [Indie Folk],Casimir Pulaski Day,2023-02-07,0.96,259.0,Sufjan Stevens,Casimir Pulaski Day,,,indie folk,youtube,,https://www.youtube.com/watch?v=TfEkDqP34xo,TfEkDqP34xo,,,,,Casimir Pulaski Day,Sufjan Stevens,53TIOhzNpRpl8xKdscSQSv,,0.685,0.172,8.0,-14.979,1.0,0.0412,0.909,0.00154,0.286,0.563,133.902,audio_features,spotify:track:53TIOhzNpRpl8xKdscSQSv,https://api.spotify.com/v1/tracks/53TIOhzNpRpl8xKdscSQSv,https://api.spotify.com/v1/audio-analysis/53TIOhzNpRpl8xKdscSQSv,353947.0,4.0,https://i.scdn.co/image/ab67616d0000b273712c76b4152918fb8d37c53d,2005-07-05,2005.0,False,52.0,https://p.scdn.co/mp3-preview/6af2c87ae27a999019ca95759e331f0753715694?cid=484c8fc1e0c54669ac770f80991a8280,"'baroque pop', 'chamber pop', 'singer-songwriter'",73,1698726
Stevie Wonder - Sir Duke [Soul],Sir Duke,2023-02-07,0.94,253.0,Stevie Wonder,Sir Duke,,,soul,youtube,,https://www.youtube.com/watch?v=EnNgASBdCeo,EnNgASBdCeo,,,,,Sir Duke,Stevie Wonder,4pNiE4LCVV74vfIBaUHm1b,,0.588,0.568,6.0,-9.766,1.0,0.0672,0.16,0.0,0.0792,0.952,106.938,audio_features,spotify:track:4pNiE4LCVV74vfIBaUHm1b,https://api.spotify.com/v1/tracks/4pNiE4LCVV74vfIBaUHm1b,https://api.spotify.com/v1/audio-analysis/4pNiE4LCVV74vfIBaUHm1b,232760.0,4.0,https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50,1976-09-28,1976.0,False,68.0,,"'adult standards', 'funk', 'motown', 'quiet storm', 'soul'",78,5974650
