r_title,r_media_title,r_post_date,r_upvote_ratio,r_score,r_post_artist,r_post_song,r_media_artist,r_media_song,r_genres,link_source,sp_link_x,yt_link,yt_video_id,sc_link,sc_embed_link,bc_embed_link,track_id,sp_song,sp_artist,id,sp_link_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,sp_artwork_640px,sp_release_date,sp_release_year,sp_explicit,sp_popularity,sp_audio_preview,sp_genres,sp_artist_popularity,sp_follower_count
Fatboy Slim - Weapon Of Choice [Rock],Fatboy Slim ft. Bootsy Collins - Weapon Of Choice [Official 4k Video],2023-02-23,0.89,3955.0,Fatboy Slim,Weapon Of Choice,Fatboy Slim ft. Bootsy Collins,Weapon Of Choice,rock,youtube,,https://www.youtube.com/watch?v=wCDIYvFmgW8,wCDIYvFmgW8,,,,,Weapon Of Choice,Fatboy Slim,08kB9HSfrcIi83rymwgjMz,,0.626,0.947,8.0,-4.608,0.0,0.057,0.136,0.78,0.209,0.959,195.972,audio_features,spotify:track:08kB9HSfrcIi83rymwgjMz,https://api.spotify.com/v1/tracks/08kB9HSfrcIi83rymwgjMz,https://api.spotify.com/v1/audio-analysis/08kB9HSfrcIi83rymwgjMz,219813.0,4.0,https://i.scdn.co/image/ab67616d0000b273bec2d7f1e2e518ccf4af1ce1,2006-01-01,2006.0,False,46.0,https://p.scdn.co/mp3-preview/ca2aca656a373eea652828e5535dca3a09df8f4b?cid=484c8fc1e0c54669ac770f80991a8280,'big beat',65,1098388
Yeah Yeah Yeahs - Maps [Indie Rock],Yeah Yeah Yeahs - Maps (Official Music Video),2023-02-23,0.92,3503.0,Yeah Yeah Yeahs,Maps,Yeah Yeah Yeahs,Maps,indie rock,youtube,,https://www.youtube.com/watch?v=oIIxlgcuQRU,oIIxlgcuQRU,,,,,Maps,Yeah Yeah Yeahs,0hDQV9X1Da5JrwhK8gu86p,,0.502,0.941,7.0,-5.194,1.0,0.0716,0.000346,0.319,0.553,0.124,119.783,audio_features,spotify:track:0hDQV9X1Da5JrwhK8gu86p,https://api.spotify.com/v1/tracks/0hDQV9X1Da5JrwhK8gu86p,https://api.spotify.com/v1/audio-analysis/0hDQV9X1Da5JrwhK8gu86p,219987.0,4.0,https://i.scdn.co/image/ab67616d0000b2731b1cb4ef0f096f9d66fc3dc6,2003-04-29,2003.0,False,65.0,,"'alternative dance', 'alternative rock', 'dance-punk', 'garage rock', 'indie rock', 'modern rock', 'new rave', 'rock'",68,1189756
Conor Ryan Hennessy -- East Palestine Ohio [indie folk] (2023),East Palestine Ohio,2023-02-20,0.91,638.0,Conor Ryan Hennessy,East Palestine Ohio,,,indie folk,youtube,,https://www.youtube.com/watch?v=wfchikpfXAU,wfchikpfXAU,,,,,East Palestine Ohio,Conor Ryan Hennessy,2pdIMfHdwf1aX6Jgha3UFk,,0.749,0.311,10.0,-11.611,1.0,0.0464,0.963,0.0,0.121,0.9,98.428,audio_features,spotify:track:2pdIMfHdwf1aX6Jgha3UFk,https://api.spotify.com/v1/tracks/2pdIMfHdwf1aX6Jgha3UFk,https://api.spotify.com/v1/audio-analysis/2pdIMfHdwf1aX6Jgha3UFk,230730.0,4.0,https://i.scdn.co/image/ab67616d0000b273bbcc7120f0b3b08200b4133d,2023-02-24,2023.0,False,0.0,https://p.scdn.co/mp3-preview/c39169f7868975336cdd741f26e1fca4e43c381b?cid=484c8fc1e0c54669ac770f80991a8280,,3,139
Fugazi - Waiting Room [post-hardcore],Fugazi -  Waiting Room,2023-02-25,0.96,591.0,Fugazi,Waiting Room,Fugazi,Waiting Room,post-hardcore,youtube,,https://www.youtube.com/watch?v=SGJFWirQ3ks,SGJFWirQ3ks,,,,,Waiting Room,Fugazi,2DBlfjL5chsdeULzhTp5K8,,0.618,0.716,6.0,-8.224,0.0,0.0367,0.00473,0.822,0.179,0.545,92.174,audio_features,spotify:track:2DBlfjL5chsdeULzhTp5K8,https://api.spotify.com/v1/tracks/2DBlfjL5chsdeULzhTp5K8,https://api.spotify.com/v1/audio-analysis/2DBlfjL5chsdeULzhTp5K8,173267.0,4.0,https://i.scdn.co/image/ab67616d0000b273f18ce5dc5f6b0843d3acb3a1,1989-09-01,1989.0,False,61.0,https://p.scdn.co/mp3-preview/d3d2cba449ee418acc8efbb8b37551b772235688?cid=484c8fc1e0c54669ac770f80991a8280,"'alternative rock', 'dc hardcore', 'indie rock', 'noise rock', 'post-hardcore', 'post-punk', 'punk', 'rock'",59,451949
Generación Suicida - Desaparecer [Punk] (2021),Generación Suicida - Desaparecer (Live on KEXP),2023-02-21,0.92,556.0,Generación Suicida,Desaparecer,Generación Suicida,Desaparecer,punk,youtube,,https://www.youtube.com/watch?v=MEI4dka_TFg,MEI4dka_TFg,,,,,Desaparecer,Generacion Suicida,1F6F39GpSjJG7ZZ966Vbrk,,0.272,0.89,9.0,-5.24,0.0,0.0347,4.04e-05,0.787,0.0725,0.439,144.164,audio_features,spotify:track:1F6F39GpSjJG7ZZ966Vbrk,https://api.spotify.com/v1/tracks/1F6F39GpSjJG7ZZ966Vbrk,https://api.spotify.com/v1/audio-analysis/1F6F39GpSjJG7ZZ966Vbrk,201995.0,4.0,https://i.scdn.co/image/ab67616d0000b273b00e201ff7cb7aa244423607,2017-07-14,2017.0,False,27.0,https://p.scdn.co/mp3-preview/2b754a48f35a18e739a8843186107c17c0695a0b?cid=484c8fc1e0c54669ac770f80991a8280,'chicano punk',32,10345
Ol' Dirty Bastard - Shimmy Shimmy Ya [Hip Hop],Shimmy Shimmy Ya,2023-02-23,0.94,343.0,Ol Dirty Bastard,Shimmy Shimmy Ya,,,hip hop,youtube,,https://www.youtube.com/watch?v=bB1RYVMBqQg,bB1RYVMBqQg,,,,,Shimmy Shimmy Ya,Ol' Dirty Bastard,3ABG1UQTk0eLYUAeWkmfMi,,0.814,0.481,0.0,-5.183,1.0,0.245,0.097,3.83e-05,0.0495,0.193,96.252,audio_features,spotify:track:3ABG1UQTk0eLYUAeWkmfMi,https://api.spotify.com/v1/tracks/3ABG1UQTk0eLYUAeWkmfMi,https://api.spotify.com/v1/audio-analysis/3ABG1UQTk0eLYUAeWkmfMi,161400.0,4.0,https://i.scdn.co/image/ab67616d0000b2739a8410531478e54ec963c606,1995-01-01,1995.0,True,65.0,https://p.scdn.co/mp3-preview/9166d2266d7048597f9c43eb028d60c6e14c0b9a?cid=484c8fc1e0c54669ac770f80991a8280,"'alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap'",69,902679
Juicy Lemon Club - Like The Morning Never Comes [Soul] (2023),Like the Morning Never Comes - Juicy Lemon Club (Live from the Livingroom),2023-02-21,0.9,311.0,Juicy Lemon Club,Like The Morning Never Comes,Like the Morning Never Comes,Juicy Lemon Club,soul,youtube,,https://www.youtube.com/watch?v=KSd5Y4_W5kY,KSd5Y4_W5kY,,,,,Colourful Underwear,Juicy Lemon Club,7Ceo7f73t9dyfemBy41j8i,,0.598,0.501,11.0,-7.829,0.0,0.047,0.428,0.0,0.104,0.243,99.396,audio_features,spotify:track:7Ceo7f73t9dyfemBy41j8i,https://api.spotify.com/v1/tracks/7Ceo7f73t9dyfemBy41j8i,https://api.spotify.com/v1/audio-analysis/7Ceo7f73t9dyfemBy41j8i,209538.0,4.0,https://i.scdn.co/image/ab67616d0000b27371674ed6fdc45c1db8d3a860,2022-09-02,2022.0,False,11.0,https://p.scdn.co/mp3-preview/b56857e73f2082829d4095a302234743b0a57894?cid=484c8fc1e0c54669ac770f80991a8280,,4,249
Betty Machete and the Angry Cougars — Don’t Stop [punk](2023),Angry Cougars - Don't Stop video,2023-02-24,0.86,257.0,Betty Machete and the Angry Cougars,Don’t Stop,Angry Cougars,Don't Stop,punk,youtube,,https://www.youtube.com/watch?v=9-DK0cerNmQ,9-DK0cerNmQ,,,,,What I Want,Betty Machete and the Angry Cougars,1Z1Zpi2Fwai0HCwmIvJzH1,,0.28,0.933,2.0,-7.98,1.0,0.116,1.32e-05,0.364,0.0822,0.354,158.91,audio_features,spotify:track:1Z1Zpi2Fwai0HCwmIvJzH1,https://api.spotify.com/v1/tracks/1Z1Zpi2Fwai0HCwmIvJzH1,https://api.spotify.com/v1/audio-analysis/1Z1Zpi2Fwai0HCwmIvJzH1,113579.0,4.0,https://i.scdn.co/image/ab67616d0000b2735dc6efd5fbc4532c76cbef68,2017-10-06,2017.0,True,1.0,https://p.scdn.co/mp3-preview/dbc4164d7d3ca20b33e6b9c97eb633d033235afb?cid=484c8fc1e0c54669ac770f80991a8280,,2,123
"Dozer - Ex-Human, Now Beast [Stoner Rock] (2023)","Dozer ""Ex-Human, Now Beast"" Official Music Video",2023-02-24,0.86,190.0,Dozer,"Ex-Human, Now Beast",Dozer,"Ex-Human, Now Beast",stoner rock,youtube,,https://www.youtube.com/watch?v=zNnTjnPuO7I,zNnTjnPuO7I,,,,,"Ex-Human, Now Beast",Dozer,50WKLFqJQ9kSsmgyc8VrfH,,0.246,0.912,4.0,-5.778,0.0,0.085,0.000131,0.796,0.206,0.448,125.185,audio_features,spotify:track:50WKLFqJQ9kSsmgyc8VrfH,https://api.spotify.com/v1/tracks/50WKLFqJQ9kSsmgyc8VrfH,https://api.spotify.com/v1/audio-analysis/50WKLFqJQ9kSsmgyc8VrfH,269293.0,5.0,https://i.scdn.co/image/ab67616d0000b273ff79b6dc3669ce3f47116647,2023-02-21,2023.0,False,18.0,https://p.scdn.co/mp3-preview/b2f1db6f6969d88402ba95c364d5e96e69a5e88b?cid=484c8fc1e0c54669ac770f80991a8280,"'psychedelic doom', 'retro metal', 'space rock', 'stoner metal', 'stoner rock', 'swedish stoner rock'",41,47926
Cicada Rhythm -- Dirty Hound [Folk] (2015),"Cicada Rhythm - ""Dirty Hound"" [Official Video]",2023-02-22,0.88,170.0,Cicada Rhythm,Dirty Hound,Cicada Rhythm,Dirty Hound,folk,youtube,,https://www.youtube.com/watch?v=FizEOwAx9yw,FizEOwAx9yw,,,,,Dirty Hound,Cicada Rhythm,0Sp0BQa3n5p7YOuUQSZEyZ,,0.587,0.441,9.0,-13.298,1.0,0.0301,0.109,0.753,0.0869,0.774,148.779,audio_features,spotify:track:0Sp0BQa3n5p7YOuUQSZEyZ,https://api.spotify.com/v1/tracks/0Sp0BQa3n5p7YOuUQSZEyZ,https://api.spotify.com/v1/audio-analysis/0Sp0BQa3n5p7YOuUQSZEyZ,205693.0,4.0,https://i.scdn.co/image/ab67616d0000b2734b8c79f60cd9f4c36a735ead,2015-10-30,2015.0,False,46.0,https://p.scdn.co/mp3-preview/42e570a6abb3f925407beda80b0fa1405314d9ca?cid=484c8fc1e0c54669ac770f80991a8280,'deep new americana',37,7970
