r_title,r_media_title,r_post_date,r_upvote_ratio,r_score,r_media_data,r_post_artist,r_post_song,r_media_artist,r_media_song,r_genres,link_source,sp_link,yt_link,yt_video_id,sc_link,sc_embed_link,bc_embed_link,video_title,channel_title,publish_date,vid_duration,view_count,thumbnail_standard,like_count,comment_count,video_tags,view_count_readable,like_count_readable,comment_count_readable,vid_duration_readable,publish_date_readable,r_score_readable
Bush - Glycerine [post-grunge] 1995,Bush - Glycerine,2022-09-16,0.9,2816.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Bush - Glycerine', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/hOllF3TgAsM?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Bush - Glycerine""></iframe>', 'author_name': 'BushVEVO', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/hOllF3TgAsM/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/BushVEVO'}}",Bush,Glycerine,Bush,Glycerine,post-grunge,youtube,,https://www.youtube.com/watch?v=hOllF3TgAsM,hOllF3TgAsM,,,,Bush - Glycerine,BushVEVO,2012-06-25T23:53:57Z,PT4M23S,65361662,https://i.ytimg.com/vi/hOllF3TgAsM/hqdefault.jpg,,10319,"['comedown', 'bush', 'glycerine cover', 'official', 'glycerine', 'glycerine acoustic', 'little things', 'Kirtland Records', 'glycerine remix', 'cover', 'download', 'everything zen', 'music', 'swallowed', 'did 911', 'Bush', 'glycerine karaoke', 'glycerine live in the rain', 'lyrics', 'live', 'music video', 'the only way out', 'vevo', 'Sony', 'Alternative', 'Glycerine', 'album', 'acoustic', 'official video', 'glycerine lyrics', 'machinehead', 'single', 'glycerine woodstock 99', 'mouth', 'glycerine bush', 'dogg']",65.4M,,,04:23,2012-06-25,2.82K
Killswitch Engage - My Curse [Metalcore],Killswitch Engage - My Curse (WITH LYRICS IN DESCRIPTION),2022-09-17,0.95,1201.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Killswitch Engage - My Curse (WITH LYRICS IN DESCRIPTION)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/NUDls2PgDUY?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Killswitch Engage - My Curse (WITH LYRICS IN DESCRIPTION)""></iframe>', 'author_name': 'deadman9101', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/NUDls2PgDUY/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/deadman9101'}}",Killswitch Engage,My Curse,Killswitch Engage,My Curse,metalcore,youtube,,https://www.youtube.com/watch?v=NUDls2PgDUY,NUDls2PgDUY,,,,Killswitch Engage - My Curse (WITH LYRICS IN DESCRIPTION),deadman9101,2008-10-25T03:02:10Z,PT4M5S,16513193,https://i.ytimg.com/vi/NUDls2PgDUY/hqdefault.jpg,100476,4080,"['Killswitch', 'engage', 'rock', 'lol', 'gears', 'of', 'war', 'halo', 'funny']",16.5M,100K,4.08K,04:05,2008-10-25,1.2K
Marcy Playground - Sex And Candy [post-grunge] 1997 (Official Music Video),Marcy Playground - Sex And Candy (Official Music Video),2022-09-16,0.88,554.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Marcy Playground - Sex And Candy (Official Music Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/-KT-r2vHeMM?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Marcy Playground - Sex And Candy (Official Music Video)""></iframe>', 'author_name': 'MarcyPlaygroundVEVO', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/-KT-r2vHeMM/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/MarcyPlaygroundVEVO'}}",Marcy Playground,Sex And Candy,Marcy Playground,Sex And Candy,post-grunge,youtube,,https://www.youtube.com/watch?v=-KT-r2vHeMM,-KT-r2vHeMM,,,,Marcy Playground - Sex And Candy (Official Music Video),MarcyPlaygroundVEVO,2009-03-03T20:16:41Z,PT2M57S,38331252,https://i.ytimg.com/vi/-KT-r2vHeMM/hqdefault.jpg,337664,8947,"['MARCY PLAYGROUND', 'MARCY PLAYGROUND SEX AND CANDY', 'SEX AND CANDY', 'SEX AND CANDY MARCY PLAYGROUND', 'SEX AND CANDY official music video', 'SEX AND CANDY remastered video', 'MARCY PLAYGROUND remastered', 'MARCY PLAYGROUND remastered videos', '#remastered', 'hd music videos', 'remastered music videos', '90’S', '90’S HITS']",38.3M,338K,8.95K,02:57,2009-03-03,554
New Constellations -- Hot Blooded [Nu wave vapor] (2022),New Constellations - Hot Blooded (Official Music Video),2022-09-16,0.93,541.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'New Constellations - Hot Blooded (Official Music Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/9uIAB_GNmGw?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""New Constellations - Hot Blooded (Official Music Video)""></iframe>', 'author_name': 'New Constellations', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/9uIAB_GNmGw/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/c/NewConstellations'}}",New Constellations,Hot Blooded,New Constellations,Hot Blooded,nu wave vapor,youtube,,https://www.youtube.com/watch?v=9uIAB_GNmGw,9uIAB_GNmGw,,,,New Constellations - Hot Blooded (Official Music Video),New Constellations,2022-09-16T03:30:11Z,PT4M29S,14885,https://i.ytimg.com/vi/9uIAB_GNmGw/hqdefault.jpg,539,77,,14.9K,539,77,04:29,2022-09-16,541
Norma Tanega - You're Dead [American folk] 1966,You're Dead Norma Tanega 1966,2022-09-17,0.96,509.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': ""You're Dead Norma Tanega 1966"", 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/ImAlx0amAIc?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""You\'re Dead Norma Tanega 1966""></iframe>', 'author_name': 'thelatepetercook', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/ImAlx0amAIc/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/thelatepetercook'}}",Norma Tanega,Youre Dead,,,american folk,youtube,,https://www.youtube.com/watch?v=ImAlx0amAIc,ImAlx0amAIc,,,,You're Dead Norma Tanega 1966,thelatepetercook,2010-11-02T14:56:28Z,PT2M26S,3846158,https://i.ytimg.com/vi/ImAlx0amAIc/hqdefault.jpg,78640,2992,"['Cult Folk', 'death', 'dying', 'freak folk']",3.85M,78.6K,2.99K,02:26,2010-11-02,509
Oranssi Pazuzu - Kuulen aania maan alta [psychedelic black metal] (2020),Kuulen ääniä maan alta,2022-09-14,0.92,446.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Kuulen ääniä maan alta', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/bp7Ai4IyOLM?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Kuulen ääniä maan alta""></iframe>', 'author_name': 'Oranssi Pazuzu - Topic', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/bp7Ai4IyOLM/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UC7FBIp5L3xebGGKmRLcXi9Q'}}",Oranssi Pazuzu,Kuulen aania maan alta,,,psychedelic black metal,youtube,,https://www.youtube.com/watch?v=bp7Ai4IyOLM,bp7Ai4IyOLM,,,,Kuulen ääniä maan alta,Oranssi Pazuzu - Topic,2020-04-16T11:13:57Z,PT7M13S,37057,https://i.ytimg.com/vi/bp7Ai4IyOLM/hqdefault.jpg,689,24,"['Oranssi Pazuzu', 'Niko Lehdontie', 'Toni Hietamäki', 'Ville Leppilahti', 'Jarkko Salo', 'Juho Vanhanen', 'Mestarin kynsi', 'Kuulen ääniä maan alta']",37.1K,689,24,07:13,2020-04-16,446
Mansions - Dig Up The Dead [Alt Rock] (2011),Dig Up the Dead,2022-09-15,0.94,425.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Dig Up the Dead', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/JfOeVTSZSJM?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Dig Up the Dead""></iframe>', 'author_name': 'Mansions - Topic', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/JfOeVTSZSJM/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCISkyv_ZLlgYthz5VjjHyhQ'}}",Mansions,Dig Up The Dead,,,alt rock,youtube,,https://www.youtube.com/watch?v=JfOeVTSZSJM,JfOeVTSZSJM,,,,Dig Up the Dead,Mansions - Topic,2020-07-15T16:28:24Z,PT3M59S,10705,https://i.ytimg.com/vi/JfOeVTSZSJM/hqdefault.jpg,220,0,"['Mansions', 'Dig Up the Dead']",10.7K,220,0,03:59,2020-07-15,425
Common Rider - Castaways [Punk Rock] (1999),Castaways,2022-09-16,0.96,300.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Castaways', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/wA5jrYuubUo?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Castaways""></iframe>', 'author_name': 'Common Rider - Topic', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/wA5jrYuubUo/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCQEV-T31kjv2MXtG8OYKasg'}}",Common Rider,Castaways,,,punk rock,youtube,,https://www.youtube.com/watch?v=wA5jrYuubUo,wA5jrYuubUo,,,,Castaways,Common Rider - Topic,2015-08-23T18:53:18Z,PT2M15S,24911,https://i.ytimg.com/vi/wA5jrYuubUo/hqdefault.jpg,294,2,"['Common', 'Rider', 'Last', 'Wave', 'Rockers', 'Castaways']",24.9K,294,2,02:15,2015-08-23,300
wednesday - bull believer [post-punk/shoe-gaze/grunge] (2022),Wednesday - Bull Believer (Official Video),2022-09-16,0.92,287.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Wednesday - Bull Believer (Official Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/0MawIv5pDFE?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Wednesday - Bull Believer (Official Video)""></iframe>', 'author_name': 'WednesdayVEVO', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/0MawIv5pDFE/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCkRryHXTD-9R76z8xNM6e0A'}}",wednesday,bull believer,Wednesday,Bull Believer,"post-punk, shoe-gaze, grunge",youtube,,https://www.youtube.com/watch?v=0MawIv5pDFE,0MawIv5pDFE,,,,Wednesday - Bull Believer (Official Video),WednesdayVEVO,2022-09-08T14:00:10Z,PT8M46S,20296,https://i.ytimg.com/vi/0MawIv5pDFE/hqdefault.jpg,882,95,"['Wednesday', 'Bull', 'Believer', '(Official', 'Video)', 'Dead', 'Oceans', 'Alternative']",20.3K,882,95,08:46,2022-09-08,287
"Noothgrush - Jundland Wastes [Sludge Metal, Heavy Music] (2013)",Jundland Wastes,2022-09-13,0.9,203.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Jundland Wastes', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/tuhszdCUDRY?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Jundland Wastes""></iframe>', 'author_name': 'Noothgrush - Topic', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/tuhszdCUDRY/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCX0EAPE7675isyEQOD7wy-g'}}",Noothgrush,Jundland Wastes,,,"sludge metal, heavy music",youtube,,https://www.youtube.com/watch?v=tuhszdCUDRY,tuhszdCUDRY,,,,Jundland Wastes,Noothgrush - Topic,2017-04-13T18:13:55Z,PT4M55S,2077,https://i.ytimg.com/vi/tuhszdCUDRY/hqdefault.jpg,37,0,"['Noothgrush', 'Split', 'Jundland', 'Wastes']",2.08K,37,0,04:55,2017-04-13,203
